,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
143,0 days 02:23:46.951000,17.1,68.0,1008.0,False,24.8,192,3.5
144,0 days 02:24:46.919000,17.1,68.0,1008.0,False,24.8,157,3.0
145,0 days 02:25:46.933000,17.1,69.0,1008.0,False,24.8,162,2.7
147,0 days 02:27:46.915000,17.1,71.0,1008.0,True,24.6,163,2.5
148,0 days 02:28:46.914000,17.1,73.0,1008.0,True,24.3,155,2.2
150,0 days 02:30:46.928000,17.0,76.0,1008.2,True,22.8,156,3.0
193,0 days 03:13:47.132000,15.9,79.0,1008.2,False,19.9,159,2.0
195,0 days 03:15:47.161000,16.1,81.0,1008.2,False,19.9,175,3.0
198,0 days 03:18:47.158000,15.9,77.0,1008.2,False,19.6,162,3.5
199,0 days 03:19:47.172000,15.8,77.0,1008.2,False,19.4,163,2.7
201,0 days 03:21:47.186000,15.8,79.0,1008.2,True,19.1,159,2.7
202,0 days 03:22:47.169000,15.8,79.0,1008.4,True,19.0,134,3.2
203,0 days 03:23:47.184000,15.7,79.0,1008.2,False,19.0,204,2.5
205,0 days 03:25:47.182000,15.8,77.0,1008.2,True,19.1,161,3.0
62,0 days 01:02:46.506000,17.6,67.0,1007.7,False,29.5,135,1.8
63,0 days 01:03:46.505000,17.5,67.0,1007.7,True,28.6,157,1.7
65,0 days 01:05:46.519000,17.2,69.0,1007.9,True,27.3,158,1.2
67,0 days 01:07:46.610000,16.7,70.0,1007.7,True,26.2,187,1.3
68,0 days 01:08:46.562000,16.4,68.0,1007.7,True,24.8,150,1.7
70,0 days 01:10:46.560000,16.2,69.0,1007.7,False,24.6,177,2.0
71,0 days 01:11:46.590000,16.3,68.0,1007.7,False,24.3,175,2.0
73,0 days 01:13:46.604000,16.5,71.0,1007.7,False,24.1,130,1.8
74,0 days 01:14:46.634000,16.5,73.0,1007.5,False,24.1,169,1.7
76,0 days 01:16:46.632000,16.5,70.0,1007.5,False,24.1,186,2.0
77,0 days 01:17:46.631000,16.5,69.0,1007.5,False,24.2,155,2.2
79,0 days 01:19:46.660000,16.5,67.0,1007.5,False,24.3,149,1.7
80,0 days 01:20:46.643000,16.5,66.0,1007.5,True,24.6,183,1.7
81,0 days 01:21:46.658000,16.5,66.0,1007.5,True,24.6,157,1.8
82,0 days 01:22:46.641000,16.5,66.0,1007.5,True,24.7,154,2.4
84,0 days 01:24:46.686000,16.8,67.0,1007.5,True,25.5,139,2.4
85,0 days 01:25:46.669000,16.8,68.0,1007.5,True,25.9,172,2.5
87,0 days 01:27:46.683000,17.0,68.0,1007.5,True,26.3,166,2.5
89,0 days 01:29:46.681000,17.1,65.0,1007.5,False,27.5,164,2.0
91,0 days 01:31:46.694000,17.1,65.0,1007.7,False,28.2,169,2.4
93,0 days 01:33:46.723000,17.2,65.0,1007.7,False,29.0,162,2.5
95,0 days 01:35:46.752000,17.4,64.0,1007.7,False,29.5,157,2.5
97,0 days 01:37:46.750000,17.3,63.0,1007.7,True,29.7,158,2.9
98,0 days 01:38:46.749000,17.3,63.0,1007.7,False,29.7,179,3.2
99,0 days 01:39:46.779000,17.3,64.0,1007.7,False,29.7,154,3.2
100,0 days 01:40:46.794000,17.3,64.0,1007.9,False,29.7,181,3.2
102,0 days 01:42:46.807000,17.3,63.0,1007.5,False,29.2,138,3.0
103,0 days 01:43:46.822000,17.2,63.0,1007.7,False,28.5,163,2.7
104,0 days 01:44:46.821000,17.1,62.0,1007.5,False,28.4,160,2.4
106,0 days 01:46:46.819000,17.1,63.0,1007.7,False,27.4,158,2.5
107,0 days 01:47:46.818000,17.0,63.0,1007.7,False,27.1,145,2.9
108,0 days 01:48:46.816000,17.0,64.0,1007.7,False,26.8,162,2.7
109,0 days 01:49:46.831000,16.9,65.0,1007.7,False,26.8,170,2.5
111,0 days 01:51:46.829000,16.8,65.0,1007.7,False,26.1,151,2.5
112,0 days 01:52:46.828000,16.8,66.0,1007.7,False,25.9,166,3.7
113,0 days 01:53:46.827000,16.8,66.0,1007.7,False,25.6,159,2.5
114,0 days 01:54:46.826000,16.9,66.0,1007.7,False,25.5,179,2.2
116,0 days 01:56:46.824000,16.9,66.0,1007.7,False,25.3,179,3.0
117,0 days 01:57:46.823000,16.9,68.0,1007.9,False,25.2,157,2.7
118,0 days 01:58:46.837000,16.8,68.0,1007.7,False,24.9,167,2.7
120,0 days 02:00:46.835000,16.9,68.0,1007.7,False,25.0,172,2.9
121,0 days 02:01:46.834000,16.9,69.0,1007.7,False,24.9,170,3.0
122,0 days 02:02:46.833000,17.0,69.0,1007.9,False,24.9,196,2.7
124,0 days 02:04:46.831000,17.3,68.0,1007.7,False,25.1,160,3.2
125,0 days 02:05:46.830000,17.3,68.0,1007.7,False,26.4,184,2.9
126,0 days 02:06:46.844000,17.5,67.0,1007.7,False,26.9,151,2.7
127,0 days 02:07:46.859000,17.6,67.0,1007.7,False,28.0,192,2.7
129,0 days 02:09:46.997000,17.8,68.0,1007.9,False,28.4,191,3.5
130,0 days 02:10:46.871000,17.7,70.0,1008.0,False,27.9,196,3.2
131,0 days 02:11:46.886000,17.7,69.0,1007.9,False,27.2,199,3.2
132,0 days 02:12:46.885000,17.6,69.0,1008.0,False,26.9,193,3.2
134,0 days 02:14:46.898000,17.4,70.0,1008.0,False,26.1,177,3.5
135,0 days 02:15:46.897000,17.3,72.0,1008.0,False,25.7,197,2.7
136,0 days 02:16:46.912000,17.3,72.0,1007.9,False,25.7,192,2.9
137,0 days 02:17:46.926000,17.3,71.0,1008.0,False,25.6,189,3.2
139,0 days 02:19:46.924000,17.2,71.0,1008.0,False,25.4,195,2.7
140,0 days 02:20:46.923000,17.1,70.0,1008.0,False,25.2,170,3.7
141,0 days 02:21:46.922000,17.1,70.0,1008.0,False,25.0,180,3.0
142,0 days 02:22:46.921000,17.1,69.0,1008.0,False,25.0,190,3.7
144,0 days 02:24:46.919000,17.1,68.0,1008.0,False,24.8,157,3.0
145,0 days 02:25:46.933000,17.1,69.0,1008.0,False,24.8,162,2.7
147,0 days 02:27:46.915000,17.1,71.0,1008.0,True,24.6,163,2.5
148,0 days 02:28:46.914000,17.1,73.0,1008.0,True,24.3,155,2.2
150,0 days 02:30:46.928000,17.0,76.0,1008.2,True,22.8,156,3.0
193,0 days 03:13:47.132000,15.9,79.0,1008.2,False,19.9,159,2.0
195,0 days 03:15:47.161000,16.1,81.0,1008.2,False,19.9,175,3.0
198,0 days 03:18:47.158000,15.9,77.0,1008.2,False,19.6,162,3.5
199,0 days 03:19:47.172000,15.8,77.0,1008.2,False,19.4,163,2.7
201,0 days 03:21:47.186000,15.8,79.0,1008.2,True,19.1,159,2.7
202,0 days 03:22:47.169000,15.8,79.0,1008.4,True,19.0,134,3.2
203,0 days 03:23:47.184000,15.7,79.0,1008.2,False,19.0,204,2.5
205,0 days 03:25:47.182000,15.8,77.0,1008.2,True,19.1,161,3.0
62,0 days 01:02:46.506000,17.6,67.0,1007.7,False,29.5,135,1.8
63,0 days 01:03:46.505000,17.5,67.0,1007.7,True,28.6,157,1.7
65,0 days 01:05:46.519000,17.2,69.0,1007.9,True,27.3,158,1.2
67,0 days 01:07:46.610000,16.7,70.0,1007.7,True,26.2,187,1.3
69,0 days 01:09:46.561000,16.2,67.0,1007.7,True,24.6,152,1.8
71,0 days 01:11:46.590000,16.3,68.0,1007.7,False,24.3,175,2.0
72,0 days 01:12:46.605000,16.4,70.0,1007.7,False,24.2,143,1.8
73,0 days 01:13:46.604000,16.5,71.0,1007.7,False,24.1,130,1.8
75,0 days 01:15:46.602000,16.5,71.0,1007.5,False,24.1,159,1.8
76,0 days 01:16:46.632000,16.5,70.0,1007.5,False,24.1,186,2.0
78,0 days 01:18:46.630000,16.5,69.0,1007.5,False,24.2,148,2.5
79,0 days 01:19:46.660000,16.5,67.0,1007.5,False,24.3,149,1.7
81,0 days 01:21:46.658000,16.5,66.0,1007.5,True,24.6,157,1.8
82,0 days 01:22:46.641000,16.5,66.0,1007.5,True,24.7,154,2.4
83,0 days 01:23:46.656000,16.6,66.0,1007.5,True,24.8,126,2.5
84,0 days 01:24:46.686000,16.8,67.0,1007.5,True,25.5,139,2.4
86,0 days 01:26:46.668000,16.9,67.0,1007.5,True,26.1,159,2.5
88,0 days 01:28:46.682000,17.1,67.0,1007.7,False,26.9,162,2.2
90,0 days 01:30:46.679000,17.1,65.0,1007.7,False,28.0,150,2.4
92,0 days 01:32:46.709000,17.1,65.0,1007.7,False,28.7,158,2.7
94,0 days 01:34:46.738000,17.4,65.0,1007.7,False,29.2,162,2.2
95,0 days 01:35:46.752000,17.4,64.0,1007.7,False,29.5,157,2.5
97,0 days 01:37:46.750000,17.3,63.0,1007.7,True,29.7,158,2.9
98,0 days 01:38:46.749000,17.3,63.0,1007.7,False,29.7,179,3.2
99,0 days 01:39:46.779000,17.3,64.0,1007.7,False,29.7,154,3.2
101,0 days 01:41:46.793000,17.3,64.0,1007.7,False,29.4,158,2.5
102,0 days 01:42:46.807000,17.3,63.0,1007.5,False,29.2,138,3.0
103,0 days 01:43:46.822000,17.2,63.0,1007.7,False,28.5,163,2.7
105,0 days 01:45:46.820000,17.1,64.0,1007.7,False,27.7,166,2.7
106,0 days 01:46:46.819000,17.1,63.0,1007.7,False,27.4,158,2.5
107,0 days 01:47:46.818000,17.0,63.0,1007.7,False,27.1,145,2.9
108,0 days 01:48:46.816000,17.0,64.0,1007.7,False,26.8,162,2.7
110,0 days 01:50:46.814000,16.8,65.0,1007.7,False,26.3,165,2.5
111,0 days 01:51:46.829000,16.8,65.0,1007.7,False,26.1,151,2.5
112,0 days 01:52:46.828000,16.8,66.0,1007.7,False,25.9,166,3.7
114,0 days 01:54:46.826000,16.9,66.0,1007.7,False,25.5,179,2.2
115,0 days 01:55:46.825000,16.9,66.0,1007.7,False,25.4,179,2.5
116,0 days 01:56:46.824000,16.9,66.0,1007.7,False,25.3,179,3.0
117,0 days 01:57:46.823000,16.9,68.0,1007.9,False,25.2,157,2.7
119,0 days 01:59:46.836000,16.9,68.0,1007.7,False,24.9,159,2.4
120,0 days 02:00:46.835000,16.9,68.0,1007.7,False,25.0,172,2.9
121,0 days 02:01:46.834000,16.9,69.0,1007.7,False,24.9,170,3.0
122,0 days 02:02:46.833000,17.0,69.0,1007.9,False,24.9,196,2.7
124,0 days 02:04:46.831000,17.3,68.0,1007.7,False,25.1,160,3.2
125,0 days 02:05:46.830000,17.3,68.0,1007.7,False,26.4,184,2.9
126,0 days 02:06:46.844000,17.5,67.0,1007.7,False,26.9,151,2.7
128,0 days 02:08:46.858000,17.7,67.0,1007.9,False,28.2,179,3.2
129,0 days 02:09:46.997000,17.8,68.0,1007.9,False,28.4,191,3.5
130,0 days 02:10:46.871000,17.7,70.0,1008.0,False,27.9,196,3.2
131,0 days 02:11:46.886000,17.7,69.0,1007.9,False,27.2,199,3.2
133,0 days 02:13:46.899000,17.5,70.0,1008.0,False,26.4,200,3.7
134,0 days 02:14:46.898000,17.4,70.0,1008.0,False,26.1,177,3.5
135,0 days 02:15:46.897000,17.3,72.0,1008.0,False,25.7,197,2.7
136,0 days 02:16:46.912000,17.3,72.0,1007.9,False,25.7,192,2.9
138,0 days 02:18:46.941000,17.2,71.0,1008.0,False,25.6,191,2.5
139,0 days 02:19:46.924000,17.2,71.0,1008.0,False,25.4,195,2.7
140,0 days 02:20:46.923000,17.1,70.0,1008.0,False,25.2,170,3.7
141,0 days 02:21:46.922000,17.1,70.0,1008.0,False,25.0,180,3.0
143,0 days 02:23:46.951000,17.1,68.0,1008.0,False,24.8,192,3.5
144,0 days 02:24:46.919000,17.1,68.0,1008.0,False,24.8,157,3.0
145,0 days 02:25:46.933000,17.1,69.0,1008.0,False,24.8,162,2.7
147,0 days 02:27:46.915000,17.1,71.0,1008.0,True,24.6,163,2.5
148,0 days 02:28:46.914000,17.1,73.0,1008.0,True,24.3,155,2.2
150,0 days 02:30:46.928000,17.0,76.0,1008.2,True,22.8,156,3.0
193,0 days 03:13:47.132000,15.9,79.0,1008.2,False,19.9,159,2.0
196,0 days 03:16:47.160000,16.0,80.0,1008.2,False,19.9,171,2.9
198,0 days 03:18:47.158000,15.9,77.0,1008.2,False,19.6,162,3.5
200,0 days 03:20:47.171000,15.8,79.0,1008.2,False,19.3,188,2.7
201,0 days 03:21:47.186000,15.8,79.0,1008.2,True,19.1,159,2.7
203,0 days 03:23:47.184000,15.7,79.0,1008.2,False,19.0,204,2.5
204,0 days 03:24:47.183000,15.7,79.0,1008.2,True,19.0,176,3.0
205,0 days 03:25:47.182000,15.8,77.0,1008.2,True,19.1,161,3.0
62,0 days 01:02:46.506000,17.6,67.0,1007.7,False,29.5,135,1.8
63,0 days 01:03:46.505000,17.5,67.0,1007.7,True,28.6,157,1.7
65,0 days 01:05:46.519000,17.2,69.0,1007.9,True,27.3,158,1.2
67,0 days 01:07:46.610000,16.7,70.0,1007.7,True,26.2,187,1.3
69,0 days 01:09:46.561000,16.2,67.0,1007.7,True,24.6,152,1.8
71,0 days 01:11:46.590000,16.3,68.0,1007.7,False,24.3,175,2.0
72,0 days 01:12:46.605000,16.4,70.0,1007.7,False,24.2,143,1.8
74,0 days 01:14:46.634000,16.5,73.0,1007.5,False,24.1,169,1.7
75,0 days 01:15:46.602000,16.5,71.0,1007.5,False,24.1,159,1.8
76,0 days 01:16:46.632000,16.5,70.0,1007.5,False,24.1,186,2.0
78,0 days 01:18:46.630000,16.5,69.0,1007.5,False,24.2,148,2.5
79,0 days 01:19:46.660000,16.5,67.0,1007.5,False,24.3,149,1.7
80,0 days 01:20:46.643000,16.5,66.0,1007.5,True,24.6,183,1.7
82,0 days 01:22:46.641000,16.5,66.0,1007.5,True,24.7,154,2.4
83,0 days 01:23:46.656000,16.6,66.0,1007.5,True,24.8,126,2.5
84,0 days 01:24:46.686000,16.8,67.0,1007.5,True,25.5,139,2.4
86,0 days 01:26:46.668000,16.9,67.0,1007.5,True,26.1,159,2.5
88,0 days 01:28:46.682000,17.1,67.0,1007.7,False,26.9,162,2.2
90,0 days 01:30:46.679000,17.1,65.0,1007.7,False,28.0,150,2.4
92,0 days 01:32:46.709000,17.1,65.0,1007.7,False,28.7,158,2.7
93,0 days 01:33:46.723000,17.2,65.0,1007.7,False,29.0,162,2.5
95,0 days 01:35:46.752000,17.4,64.0,1007.7,False,29.5,157,2.5
97,0 days 01:37:46.750000,17.3,63.0,1007.7,True,29.7,158,2.9
98,0 days 01:38:46.749000,17.3,63.0,1007.7,False,29.7,179,3.2
99,0 days 01:39:46.779000,17.3,64.0,1007.7,False,29.7,154,3.2
101,0 days 01:41:46.793000,17.3,64.0,1007.7,False,29.4,158,2.5
102,0 days 01:42:46.807000,17.3,63.0,1007.5,False,29.2,138,3.0
103,0 days 01:43:46.822000,17.2,63.0,1007.7,False,28.5,163,2.7
105,0 days 01:45:46.820000,17.1,64.0,1007.7,False,27.7,166,2.7
106,0 days 01:46:46.819000,17.1,63.0,1007.7,False,27.4,158,2.5
107,0 days 01:47:46.818000,17.0,63.0,1007.7,False,27.1,145,2.9
108,0 days 01:48:46.816000,17.0,64.0,1007.7,False,26.8,162,2.7
110,0 days 01:50:46.814000,16.8,65.0,1007.7,False,26.3,165,2.5
111,0 days 01:51:46.829000,16.8,65.0,1007.7,False,26.1,151,2.5
112,0 days 01:52:46.828000,16.8,66.0,1007.7,False,25.9,166,3.7
114,0 days 01:54:46.826000,16.9,66.0,1007.7,False,25.5,179,2.2
115,0 days 01:55:46.825000,16.9,66.0,1007.7,False,25.4,179,2.5
116,0 days 01:56:46.824000,16.9,66.0,1007.7,False,25.3,179,3.0
117,0 days 01:57:46.823000,16.9,68.0,1007.9,False,25.2,157,2.7
119,0 days 01:59:46.836000,16.9,68.0,1007.7,False,24.9,159,2.4
120,0 days 02:00:46.835000,16.9,68.0,1007.7,False,25.0,172,2.9
121,0 days 02:01:46.834000,16.9,69.0,1007.7,False,24.9,170,3.0
123,0 days 02:03:46.832000,17.1,69.0,1007.7,False,25.1,194,2.7
124,0 days 02:04:46.831000,17.3,68.0,1007.7,False,25.1,160,3.2
125,0 days 02:05:46.830000,17.3,68.0,1007.7,False,26.4,184,2.9
126,0 days 02:06:46.844000,17.5,67.0,1007.7,False,26.9,151,2.7
128,0 days 02:08:46.858000,17.7,67.0,1007.9,False,28.2,179,3.2
129,0 days 02:09:46.997000,17.8,68.0,1007.9,False,28.4,191,3.5
131,0 days 02:11:46.886000,17.7,69.0,1007.9,False,27.2,199,3.2
132,0 days 02:12:46.885000,17.6,69.0,1008.0,False,26.9,193,3.2
133,0 days 02:13:46.899000,17.5,70.0,1008.0,False,26.4,200,3.7
134,0 days 02:14:46.898000,17.4,70.0,1008.0,False,26.1,177,3.5
136,0 days 02:16:46.912000,17.3,72.0,1007.9,False,25.7,192,2.9
137,0 days 02:17:46.926000,17.3,71.0,1008.0,False,25.6,189,3.2
138,0 days 02:18:46.941000,17.2,71.0,1008.0,False,25.6,191,2.5
139,0 days 02:19:46.924000,17.2,71.0,1008.0,False,25.4,195,2.7
141,0 days 02:21:46.922000,17.1,70.0,1008.0,False,25.0,180,3.0
142,0 days 02:22:46.921000,17.1,69.0,1008.0,False,25.0,190,3.7
143,0 days 02:23:46.951000,17.1,68.0,1008.0,False,24.8,192,3.5
144,0 days 02:24:46.919000,17.1,68.0,1008.0,False,24.8,157,3.0
146,0 days 02:26:46.917000,17.1,69.0,1008.0,False,24.7,161,3.2
148,0 days 02:28:46.914000,17.1,73.0,1008.0,True,24.3,155,2.2
149,0 days 02:29:46.929000,17.1,75.0,1008.0,True,24.1,156,2.5
151,0 days 02:31:46.927000,16.6,78.0,1008.2,True,21.8,205,1.8
193,0 days 03:13:47.132000,15.9,79.0,1008.2,False,19.9,159,2.0
196,0 days 03:16:47.160000,16.0,80.0,1008.2,False,19.9,171,2.9
198,0 days 03:18:47.158000,15.9,77.0,1008.2,False,19.6,162,3.5
199,0 days 03:19:47.172000,15.8,77.0,1008.2,False,19.4,163,2.7
201,0 days 03:21:47.186000,15.8,79.0,1008.2,True,19.1,159,2.7
202,0 days 03:22:47.169000,15.8,79.0,1008.4,True,19.0,134,3.2
204,0 days 03:24:47.183000,15.7,79.0,1008.2,True,19.0,176,3.0
205,0 days 03:25:47.182000,15.8,77.0,1008.2,True,19.1,161,3.0
62,0 days 01:02:46.506000,17.6,67.0,1007.7,False,29.5,135,1.8
63,0 days 01:03:46.505000,17.5,67.0,1007.7,True,28.6,157,1.7
65,0 days 01:05:46.519000,17.2,69.0,1007.9,True,27.3,158,1.2
67,0 days 01:07:46.610000,16.7,70.0,1007.7,True,26.2,187,1.3
69,0 days 01:09:46.561000,16.2,67.0,1007.7,True,24.6,152,1.8
70,0 days 01:10:46.560000,16.2,69.0,1007.7,False,24.6,177,2.0
72,0 days 01:12:46.605000,16.4,70.0,1007.7,False,24.2,143,1.8
74,0 days 01:14:46.634000,16.5,73.0,1007.5,False,24.1,169,1.7
75,0 days 01:15:46.602000,16.5,71.0,1007.5,False,24.1,159,1.8
76,0 days 01:16:46.632000,16.5,70.0,1007.5,False,24.1,186,2.0
78,0 days 01:18:46.630000,16.5,69.0,1007.5,False,24.2,148,2.5
79,0 days 01:19:46.660000,16.5,67.0,1007.5,False,24.3,149,1.7
80,0 days 01:20:46.643000,16.5,66.0,1007.5,True,24.6,183,1.7
81,0 days 01:21:46.658000,16.5,66.0,1007.5,True,24.6,157,1.8
83,0 days 01:23:46.656000,16.6,66.0,1007.5,True,24.8,126,2.5
84,0 days 01:24:46.686000,16.8,67.0,1007.5,True,25.5,139,2.4
86,0 days 01:26:46.668000,16.9,67.0,1007.5,True,26.1,159,2.5
88,0 days 01:28:46.682000,17.1,67.0,1007.7,False,26.9,162,2.2
90,0 days 01:30:46.679000,17.1,65.0,1007.7,False,28.0,150,2.4
92,0 days 01:32:46.709000,17.1,65.0,1007.7,False,28.7,158,2.7
93,0 days 01:33:46.723000,17.2,65.0,1007.7,False,29.0,162,2.5
95,0 days 01:35:46.752000,17.4,64.0,1007.7,False,29.5,157,2.5
97,0 days 01:37:46.750000,17.3,63.0,1007.7,True,29.7,158,2.9
98,0 days 01:38:46.749000,17.3,63.0,1007.7,False,29.7,179,3.2
99,0 days 01:39:46.779000,17.3,64.0,1007.7,False,29.7,154,3.2
101,0 days 01:41:46.793000,17.3,64.0,1007.7,False,29.4,158,2.5
102,0 days 01:42:46.807000,17.3,63.0,1007.5,False,29.2,138,3.0
103,0 days 01:43:46.822000,17.2,63.0,1007.7,False,28.5,163,2.7
104,0 days 01:44:46.821000,17.1,62.0,1007.5,False,28.4,160,2.4
106,0 days 01:46:46.819000,17.1,63.0,1007.7,False,27.4,158,2.5
107,0 days 01:47:46.818000,17.0,63.0,1007.7,False,27.1,145,2.9
108,0 days 01:48:46.816000,17.0,64.0,1007.7,False,26.8,162,2.7
110,0 days 01:50:46.814000,16.8,65.0,1007.7,False,26.3,165,2.5
111,0 days 01:51:46.829000,16.8,65.0,1007.7,False,26.1,151,2.5
112,0 days 01:52:46.828000,16.8,66.0,1007.7,False,25.9,166,3.7
113,0 days 01:53:46.827000,16.8,66.0,1007.7,False,25.6,159,2.5
115,0 days 01:55:46.825000,16.9,66.0,1007.7,False,25.4,179,2.5
116,0 days 01:56:46.824000,16.9,66.0,1007.7,False,25.3,179,3.0
117,0 days 01:57:46.823000,16.9,68.0,1007.9,False,25.2,157,2.7
118,0 days 01:58:46.837000,16.8,68.0,1007.7,False,24.9,167,2.7
120,0 days 02:00:46.835000,16.9,68.0,1007.7,False,25.0,172,2.9
121,0 days 02:01:46.834000,16.9,69.0,1007.7,False,24.9,170,3.0
122,0 days 02:02:46.833000,17.0,69.0,1007.9,False,24.9,196,2.7
124,0 days 02:04:46.831000,17.3,68.0,1007.7,False,25.1,160,3.2
125,0 days 02:05:46.830000,17.3,68.0,1007.7,False,26.4,184,2.9
126,0 days 02:06:46.844000,17.5,67.0,1007.7,False,26.9,151,2.7
127,0 days 02:07:46.859000,17.6,67.0,1007.7,False,28.0,192,2.7
129,0 days 02:09:46.997000,17.8,68.0,1007.9,False,28.4,191,3.5
130,0 days 02:10:46.871000,17.7,70.0,1008.0,False,27.9,196,3.2
132,0 days 02:12:46.885000,17.6,69.0,1008.0,False,26.9,193,3.2
133,0 days 02:13:46.899000,17.5,70.0,1008.0,False,26.4,200,3.7
134,0 days 02:14:46.898000,17.4,70.0,1008.0,False,26.1,177,3.5
135,0 days 02:15:46.897000,17.3,72.0,1008.0,False,25.7,197,2.7
136,0 days 02:16:46.912000,17.3,72.0,1007.9,False,25.7,192,2.9
138,0 days 02:18:46.941000,17.2,71.0,1008.0,False,25.6,191,2.5
139,0 days 02:19:46.924000,17.2,71.0,1008.0,False,25.4,195,2.7
140,0 days 02:20:46.923000,17.1,70.0,1008.0,False,25.2,170,3.7
141,0 days 02:21:46.922000,17.1,70.0,1008.0,False,25.0,180,3.0
143,0 days 02:23:46.951000,17.1,68.0,1008.0,False,24.8,192,3.5
144,0 days 02:24:46.919000,17.1,68.0,1008.0,False,24.8,157,3.0
145,0 days 02:25:46.933000,17.1,69.0,1008.0,False,24.8,162,2.7
147,0 days 02:27:46.915000,17.1,71.0,1008.0,True,24.6,163,2.5
148,0 days 02:28:46.914000,17.1,73.0,1008.0,True,24.3,155,2.2
151,0 days 02:31:46.927000,16.6,78.0,1008.2,True,21.8,205,1.8
193,0 days 03:13:47.132000,15.9,79.0,1008.2,False,19.9,159,2.0
196,0 days 03:16:47.160000,16.0,80.0,1008.2,False,19.9,171,2.9
198,0 days 03:18:47.158000,15.9,77.0,1008.2,False,19.6,162,3.5
199,0 days 03:19:47.172000,15.8,77.0,1008.2,False,19.4,163,2.7
201,0 days 03:21:47.186000,15.8,79.0,1008.2,True,19.1,159,2.7
202,0 days 03:22:47.169000,15.8,79.0,1008.4,True,19.0,134,3.2
203,0 days 03:23:47.184000,15.7,79.0,1008.2,False,19.0,204,2.5
205,0 days 03:25:47.182000,15.8,77.0,1008.2,True,19.1,161,3.0
