,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
118,0 days 01:58:09.178000,24.5,33.0,779.9,False,38.3,75,1.5
120,0 days 02:00:09.206000,24.3,33.0,779.7,False,38.1,270,0.0
121,0 days 02:01:09.202000,24.4,33.0,779.7,False,38.0,313,1.2
123,0 days 02:03:09.201000,24.5,33.0,779.9,False,38.2,271,0.8
124,0 days 02:04:09.219000,24.5,33.0,779.7,False,38.0,262,2.5
125,0 days 02:05:09.247000,24.4,32.0,779.9,False,38.0,257,2.7
127,0 days 02:07:09.253000,24.3,31.0,779.7,False,37.9,272,1.7
128,0 days 02:08:09.251000,24.5,31.0,779.7,False,37.9,302,1.8
129,0 days 02:09:09.253000,24.5,31.0,779.9,False,38.0,266,1.1
131,0 days 02:11:09.320000,24.5,31.0,779.7,False,37.9,274,1.6
132,0 days 02:12:09.282000,24.5,31.0,779.7,False,37.9,235,0.8
134,0 days 02:14:09.298000,24.4,31.0,779.7,False,37.7,265,0.8
135,0 days 02:15:09.299000,24.4,31.0,779.7,False,37.8,256,1.0
136,0 days 02:16:09.370000,24.4,31.0,779.7,False,37.8,203,0.8
138,0 days 02:18:09.344000,24.3,31.0,779.7,False,37.8,0,1.2
139,0 days 02:19:09.362000,24.4,32.0,779.7,False,37.6,264,0.6
141,0 days 02:21:09.378000,24.3,31.0,779.7,False,37.3,269,1.8
142,0 days 02:22:09.392000,24.3,32.0,779.7,False,37.2,277,0.8
144,0 days 02:24:09.410000,24.4,32.0,779.7,False,37.2,291,2.0
145,0 days 02:25:09.413000,24.3,32.0,779.7,False,37.2,267,1.5
146,0 days 02:26:09.417000,24.3,32.0,779.7,False,37.1,306,0.6
148,0 days 02:28:09.409000,24.4,32.0,779.7,False,37.1,289,1.2
149,0 days 02:29:09.410000,24.4,32.0,779.7,False,37.0,297,1.3
151,0 days 02:31:09.409000,24.5,32.0,779.7,False,37.0,241,0.8
152,0 days 02:32:09.408000,24.6,32.0,779.7,False,37.3,213,1.1
154,0 days 02:34:09.410000,24.7,32.0,779.7,False,37.1,0,0.5
155,0 days 02:35:09.409000,24.8,32.0,779.7,False,37.2,178,0.5
156,0 days 02:36:09.417000,24.7,32.0,779.7,False,37.2,0,1.2
158,0 days 02:38:09.411000,24.8,32.0,779.5,False,37.3,289,0.6
159,0 days 02:39:09.411000,24.8,31.0,779.5,False,37.4,313,1.0
161,0 days 02:41:09.414000,25.0,31.0,779.5,False,37.8,274,1.1
62,0 days 01:02:09.150000,25.4,34.0,780.5,False,47.4,300,1.2
64,0 days 01:04:09.150000,25.3,34.0,780.5,False,47.7,259,1.7
65,0 days 01:05:09.152000,25.2,35.0,780.5,False,47.2,278,1.7
67,0 days 01:07:09.153000,25.0,34.0,780.5,False,47.1,339,2.2
68,0 days 01:08:09.151000,24.9,34.0,780.4,False,47.0,300,0.8
70,0 days 01:10:09.154000,24.8,34.0,780.4,False,45.6,248,1.3
71,0 days 01:11:09.152000,24.7,34.0,780.5,False,44.1,274,1.3
72,0 days 01:12:09.153000,24.5,35.0,780.2,False,43.6,179,0.8
74,0 days 01:14:09.152000,24.3,35.0,780.5,False,42.6,313,0.6
75,0 days 01:15:09.149000,24.2,34.0,780.4,False,42.6,174,1.1
77,0 days 01:17:09.151000,24.4,34.0,780.4,False,42.1,68,1.7
78,0 days 01:18:09.158000,24.4,33.0,780.4,False,42.1,125,1.7
79,0 days 01:19:09.159000,24.3,34.0,780.4,False,41.2,344,1.2
81,0 days 01:21:09.158000,24.2,34.0,780.2,False,40.8,253,1.1
82,0 days 01:22:09.154000,24.2,33.0,780.2,False,40.4,269,1.5
84,0 days 01:24:09.152000,24.2,33.0,780.2,False,40.2,276,1.7
85,0 days 01:25:09.151000,24.1,33.0,780.2,False,40.0,284,1.5
86,0 days 01:26:09.154000,24.0,34.0,780.2,False,39.8,22,1.2
88,0 days 01:28:09.155000,24.2,33.0,780.2,False,39.8,259,0.8
89,0 days 01:29:09.160000,24.2,33.0,780.2,False,39.6,279,1.0
91,0 days 01:31:09.152000,24.2,33.0,780.2,False,39.5,236,0.8
92,0 days 01:32:09.151000,24.3,33.0,780.0,False,39.5,264,0.8
93,0 days 01:33:09.169000,24.3,33.0,780.2,False,39.6,253,1.0
95,0 days 01:35:09.153000,24.5,32.0,780.0,False,39.8,284,1.6
96,0 days 01:36:09.154000,24.6,32.0,780.0,False,39.8,275,1.7
98,0 days 01:38:09.154000,24.6,33.0,780.0,False,39.4,0,0.8
99,0 days 01:39:09.163000,24.6,33.0,780.0,False,39.4,0,0.8
100,0 days 01:40:09.142000,24.6,33.0,780.0,False,39.4,0,0.8
102,0 days 01:42:09.153000,24.7,33.0,780.0,False,39.1,251,1.5
103,0 days 01:43:09.154000,24.5,33.0,780.0,False,38.9,246,1.6
105,0 days 01:45:09.189000,24.4,34.0,780.0,False,38.8,290,1.2
106,0 days 01:46:09.154000,24.4,34.0,780.0,False,38.7,264,0.8
108,0 days 01:48:09.158000,24.4,34.0,780.0,False,38.4,313,1.5
109,0 days 01:49:09.155000,24.3,34.0,780.0,False,38.4,282,1.1
111,0 days 01:51:09.157000,24.4,33.0,779.9,False,38.7,295,1.1
112,0 days 01:52:09.156000,24.5,33.0,780.0,False,38.5,194,1.6
113,0 days 01:53:09.154000,24.5,33.0,780.0,False,38.5,132,0.8
115,0 days 01:55:09.155000,24.7,32.0,779.9,False,38.6,91,1.2
116,0 days 01:56:09.159000,24.6,33.0,779.9,False,38.6,93,1.1
117,0 days 01:57:09.155000,24.6,33.0,779.9,False,38.4,79,2.0
119,0 days 01:59:09.227000,24.3,33.0,779.7,False,38.1,0,0.6
120,0 days 02:00:09.206000,24.3,33.0,779.7,False,38.1,270,0.0
122,0 days 02:02:09.204000,24.5,33.0,779.9,False,38.2,245,0.4
123,0 days 02:03:09.201000,24.5,33.0,779.9,False,38.2,271,0.8
124,0 days 02:04:09.219000,24.5,33.0,779.7,False,38.0,262,2.5
126,0 days 02:06:09.234000,24.4,32.0,779.9,False,37.9,274,2.2
127,0 days 02:07:09.253000,24.3,31.0,779.7,False,37.9,272,1.7
129,0 days 02:09:09.253000,24.5,31.0,779.9,False,38.0,266,1.1
130,0 days 02:10:09.280000,24.5,31.0,779.7,False,38.0,298,2.0
131,0 days 02:11:09.320000,24.5,31.0,779.7,False,37.9,274,1.6
133,0 days 02:13:09.283000,24.5,31.0,779.7,False,37.9,301,1.0
134,0 days 02:14:09.298000,24.4,31.0,779.7,False,37.7,265,0.8
135,0 days 02:15:09.299000,24.4,31.0,779.7,False,37.8,256,1.0
137,0 days 02:17:09.329000,24.4,32.0,779.7,False,37.7,240,0.8
138,0 days 02:18:09.344000,24.3,31.0,779.7,False,37.8,0,1.2
140,0 days 02:20:09.388000,24.4,31.0,779.7,False,37.6,284,1.5
141,0 days 02:21:09.378000,24.3,31.0,779.7,False,37.3,269,1.8
142,0 days 02:22:09.392000,24.3,32.0,779.7,False,37.2,277,0.8
144,0 days 02:24:09.410000,24.4,32.0,779.7,False,37.2,291,2.0
145,0 days 02:25:09.413000,24.3,32.0,779.7,False,37.2,267,1.5
146,0 days 02:26:09.417000,24.3,32.0,779.7,False,37.1,306,0.6
148,0 days 02:28:09.409000,24.4,32.0,779.7,False,37.1,289,1.2
149,0 days 02:29:09.410000,24.4,32.0,779.7,False,37.0,297,1.3
151,0 days 02:31:09.409000,24.5,32.0,779.7,False,37.0,241,0.8
152,0 days 02:32:09.408000,24.6,32.0,779.7,False,37.3,213,1.1
154,0 days 02:34:09.410000,24.7,32.0,779.7,False,37.1,0,0.5
155,0 days 02:35:09.409000,24.8,32.0,779.7,False,37.2,178,0.5
156,0 days 02:36:09.417000,24.7,32.0,779.7,False,37.2,0,1.2
158,0 days 02:38:09.411000,24.8,32.0,779.5,False,37.3,289,0.6
159,0 days 02:39:09.411000,24.8,31.0,779.5,False,37.4,313,1.0
161,0 days 02:41:09.414000,25.0,31.0,779.5,False,37.8,274,1.1
62,0 days 01:02:09.150000,25.4,34.0,780.5,False,47.4,300,1.2
64,0 days 01:04:09.150000,25.3,34.0,780.5,False,47.7,259,1.7
66,0 days 01:06:09.150000,25.2,34.0,780.4,False,47.2,273,1.8
67,0 days 01:07:09.153000,25.0,34.0,780.5,False,47.1,339,2.2
68,0 days 01:08:09.151000,24.9,34.0,780.4,False,47.0,300,0.8
70,0 days 01:10:09.154000,24.8,34.0,780.4,False,45.6,248,1.3
71,0 days 01:11:09.152000,24.7,34.0,780.5,False,44.1,274,1.3
73,0 days 01:13:09.152000,24.4,35.0,780.5,False,42.8,264,1.1
74,0 days 01:14:09.152000,24.3,35.0,780.5,False,42.6,313,0.6
76,0 days 01:16:09.152000,24.4,34.0,780.4,False,42.6,251,0.8
77,0 days 01:17:09.151000,24.4,34.0,780.4,False,42.1,68,1.7
78,0 days 01:18:09.158000,24.4,33.0,780.4,False,42.1,125,1.7
80,0 days 01:20:09.154000,24.2,34.0,780.2,False,40.8,276,1.1
81,0 days 01:21:09.158000,24.2,34.0,780.2,False,40.8,253,1.1
83,0 days 01:23:09.152000,24.2,33.0,780.2,False,40.2,277,1.8
84,0 days 01:24:09.152000,24.2,33.0,780.2,False,40.2,276,1.7
86,0 days 01:26:09.154000,24.0,34.0,780.2,False,39.8,22,1.2
87,0 days 01:27:09.152000,24.0,33.0,780.2,False,39.9,231,1.1
88,0 days 01:28:09.155000,24.2,33.0,780.2,False,39.8,259,0.8
90,0 days 01:30:09.156000,24.2,33.0,780.2,False,39.6,311,1.1
91,0 days 01:31:09.152000,24.2,33.0,780.2,False,39.5,236,0.8
93,0 days 01:33:09.169000,24.3,33.0,780.2,False,39.6,253,1.0
94,0 days 01:34:09.153000,24.3,32.0,780.0,False,39.8,318,1.3
96,0 days 01:36:09.154000,24.6,32.0,780.0,False,39.8,275,1.7
97,0 days 01:37:09.152000,24.6,33.0,780.0,False,39.4,0,0.8
99,0 days 01:39:09.163000,24.6,33.0,780.0,False,39.4,0,0.8
100,0 days 01:40:09.142000,24.6,33.0,780.0,False,39.4,0,0.8
102,0 days 01:42:09.153000,24.7,33.0,780.0,False,39.1,251,1.5
103,0 days 01:43:09.154000,24.5,33.0,780.0,False,38.9,246,1.6
105,0 days 01:45:09.189000,24.4,34.0,780.0,False,38.8,290,1.2
106,0 days 01:46:09.154000,24.4,34.0,780.0,False,38.7,264,0.8
107,0 days 01:47:09.155000,24.4,33.0,780.0,False,38.5,262,1.2
109,0 days 01:49:09.155000,24.3,34.0,780.0,False,38.4,282,1.1
110,0 days 01:50:09.179000,24.3,34.0,780.0,False,38.5,332,1.7
112,0 days 01:52:09.156000,24.5,33.0,780.0,False,38.5,194,1.6
113,0 days 01:53:09.154000,24.5,33.0,780.0,False,38.5,132,0.8
114,0 days 01:54:09.154000,24.6,33.0,780.0,False,38.5,108,1.5
116,0 days 01:56:09.159000,24.6,33.0,779.9,False,38.6,93,1.1
117,0 days 01:57:09.155000,24.6,33.0,779.9,False,38.4,79,2.0
119,0 days 01:59:09.227000,24.3,33.0,779.7,False,38.1,0,0.6
120,0 days 02:00:09.206000,24.3,33.0,779.7,False,38.1,270,0.0
122,0 days 02:02:09.204000,24.5,33.0,779.9,False,38.2,245,0.4
123,0 days 02:03:09.201000,24.5,33.0,779.9,False,38.2,271,0.8
124,0 days 02:04:09.219000,24.5,33.0,779.7,False,38.0,262,2.5
126,0 days 02:06:09.234000,24.4,32.0,779.9,False,37.9,274,2.2
127,0 days 02:07:09.253000,24.3,31.0,779.7,False,37.9,272,1.7
129,0 days 02:09:09.253000,24.5,31.0,779.9,False,38.0,266,1.1
130,0 days 02:10:09.280000,24.5,31.0,779.7,False,38.0,298,2.0
132,0 days 02:12:09.282000,24.5,31.0,779.7,False,37.9,235,0.8
133,0 days 02:13:09.283000,24.5,31.0,779.7,False,37.9,301,1.0
134,0 days 02:14:09.298000,24.4,31.0,779.7,False,37.7,265,0.8
136,0 days 02:16:09.370000,24.4,31.0,779.7,False,37.8,203,0.8
137,0 days 02:17:09.329000,24.4,32.0,779.7,False,37.7,240,0.8
139,0 days 02:19:09.362000,24.4,32.0,779.7,False,37.6,264,0.6
140,0 days 02:20:09.388000,24.4,31.0,779.7,False,37.6,284,1.5
142,0 days 02:22:09.392000,24.3,32.0,779.7,False,37.2,277,0.8
143,0 days 02:23:09.410000,24.4,32.0,779.7,False,37.2,269,0.6
145,0 days 02:25:09.413000,24.3,32.0,779.7,False,37.2,267,1.5
146,0 days 02:26:09.417000,24.3,32.0,779.7,False,37.1,306,0.6
147,0 days 02:27:09.409000,24.4,32.0,779.7,False,37.0,306,1.2
149,0 days 02:29:09.410000,24.4,32.0,779.7,False,37.0,297,1.3
150,0 days 02:30:09.409000,24.4,32.0,779.7,False,37.0,249,1.0
152,0 days 02:32:09.408000,24.6,32.0,779.7,False,37.3,213,1.1
153,0 days 02:33:09.408000,24.7,32.0,779.7,False,37.2,223,0.6
155,0 days 02:35:09.409000,24.8,32.0,779.7,False,37.2,178,0.5
156,0 days 02:36:09.417000,24.7,32.0,779.7,False,37.2,0,1.2
158,0 days 02:38:09.411000,24.8,32.0,779.5,False,37.3,289,0.6
159,0 days 02:39:09.411000,24.8,31.0,779.5,False,37.4,313,1.0
161,0 days 02:41:09.414000,25.0,31.0,779.5,False,37.8,274,1.1
62,0 days 01:02:09.150000,25.4,34.0,780.5,False,47.4,300,1.2
64,0 days 01:04:09.150000,25.3,34.0,780.5,False,47.7,259,1.7
65,0 days 01:05:09.152000,25.2,35.0,780.5,False,47.2,278,1.7
67,0 days 01:07:09.153000,25.0,34.0,780.5,False,47.1,339,2.2
68,0 days 01:08:09.151000,24.9,34.0,780.4,False,47.0,300,0.8
70,0 days 01:10:09.154000,24.8,34.0,780.4,False,45.6,248,1.3
71,0 days 01:11:09.152000,24.7,34.0,780.5,False,44.1,274,1.3
72,0 days 01:12:09.153000,24.5,35.0,780.2,False,43.6,179,0.8
74,0 days 01:14:09.152000,24.3,35.0,780.5,False,42.6,313,0.6
75,0 days 01:15:09.149000,24.2,34.0,780.4,False,42.6,174,1.1
76,0 days 01:16:09.152000,24.4,34.0,780.4,False,42.6,251,0.8
78,0 days 01:18:09.158000,24.4,33.0,780.4,False,42.1,125,1.7
79,0 days 01:19:09.159000,24.3,34.0,780.4,False,41.2,344,1.2
81,0 days 01:21:09.158000,24.2,34.0,780.2,False,40.8,253,1.1
82,0 days 01:22:09.154000,24.2,33.0,780.2,False,40.4,269,1.5
83,0 days 01:23:09.152000,24.2,33.0,780.2,False,40.2,277,1.8
85,0 days 01:25:09.151000,24.1,33.0,780.2,False,40.0,284,1.5
86,0 days 01:26:09.154000,24.0,34.0,780.2,False,39.8,22,1.2
88,0 days 01:28:09.155000,24.2,33.0,780.2,False,39.8,259,0.8
89,0 days 01:29:09.160000,24.2,33.0,780.2,False,39.6,279,1.0
90,0 days 01:30:09.156000,24.2,33.0,780.2,False,39.6,311,1.1
92,0 days 01:32:09.151000,24.3,33.0,780.0,False,39.5,264,0.8
93,0 days 01:33:09.169000,24.3,33.0,780.2,False,39.6,253,1.0
95,0 days 01:35:09.153000,24.5,32.0,780.0,False,39.8,284,1.6
96,0 days 01:36:09.154000,24.6,32.0,780.0,False,39.8,275,1.7
97,0 days 01:37:09.152000,24.6,33.0,780.0,False,39.4,0,0.8
99,0 days 01:39:09.163000,24.6,33.0,780.0,False,39.4,0,0.8
100,0 days 01:40:09.142000,24.6,33.0,780.0,False,39.4,0,0.8
101,0 days 01:41:09.154000,24.6,33.0,780.0,False,39.4,0,0.8
103,0 days 01:43:09.154000,24.5,33.0,780.0,False,38.9,246,1.6
104,0 days 01:44:09.158000,24.5,34.0,780.0,False,38.8,263,1.8
106,0 days 01:46:09.154000,24.4,34.0,780.0,False,38.7,264,0.8
107,0 days 01:47:09.155000,24.4,33.0,780.0,False,38.5,262,1.2
108,0 days 01:48:09.158000,24.4,34.0,780.0,False,38.4,313,1.5
110,0 days 01:50:09.179000,24.3,34.0,780.0,False,38.5,332,1.7
112,0 days 01:52:09.156000,24.5,33.0,780.0,False,38.5,194,1.6
113,0 days 01:53:09.154000,24.5,33.0,780.0,False,38.5,132,0.8
114,0 days 01:54:09.154000,24.6,33.0,780.0,False,38.5,108,1.5
116,0 days 01:56:09.159000,24.6,33.0,779.9,False,38.6,93,1.1
117,0 days 01:57:09.155000,24.6,33.0,779.9,False,38.4,79,2.0
118,0 days 01:58:09.178000,24.5,33.0,779.9,False,38.3,75,1.5
120,0 days 02:00:09.206000,24.3,33.0,779.7,False,38.1,270,0.0
121,0 days 02:01:09.202000,24.4,33.0,779.7,False,38.0,313,1.2
123,0 days 02:03:09.201000,24.5,33.0,779.9,False,38.2,271,0.8
124,0 days 02:04:09.219000,24.5,33.0,779.7,False,38.0,262,2.5
125,0 days 02:05:09.247000,24.4,32.0,779.9,False,38.0,257,2.7
127,0 days 02:07:09.253000,24.3,31.0,779.7,False,37.9,272,1.7
128,0 days 02:08:09.251000,24.5,31.0,779.7,False,37.9,302,1.8
129,0 days 02:09:09.253000,24.5,31.0,779.9,False,38.0,266,1.1
131,0 days 02:11:09.320000,24.5,31.0,779.7,False,37.9,274,1.6
132,0 days 02:12:09.282000,24.5,31.0,779.7,False,37.9,235,0.8
134,0 days 02:14:09.298000,24.4,31.0,779.7,False,37.7,265,0.8
135,0 days 02:15:09.299000,24.4,31.0,779.7,False,37.8,256,1.0
136,0 days 02:16:09.370000,24.4,31.0,779.7,False,37.8,203,0.8
138,0 days 02:18:09.344000,24.3,31.0,779.7,False,37.8,0,1.2
139,0 days 02:19:09.362000,24.4,32.0,779.7,False,37.6,264,0.6
140,0 days 02:20:09.388000,24.4,31.0,779.7,False,37.6,284,1.5
142,0 days 02:22:09.392000,24.3,32.0,779.7,False,37.2,277,0.8
143,0 days 02:23:09.410000,24.4,32.0,779.7,False,37.2,269,0.6
145,0 days 02:25:09.413000,24.3,32.0,779.7,False,37.2,267,1.5
146,0 days 02:26:09.417000,24.3,32.0,779.7,False,37.1,306,0.6
147,0 days 02:27:09.409000,24.4,32.0,779.7,False,37.0,306,1.2
149,0 days 02:29:09.410000,24.4,32.0,779.7,False,37.0,297,1.3
150,0 days 02:30:09.409000,24.4,32.0,779.7,False,37.0,249,1.0
152,0 days 02:32:09.408000,24.6,32.0,779.7,False,37.3,213,1.1
153,0 days 02:33:09.408000,24.7,32.0,779.7,False,37.2,223,0.6
155,0 days 02:35:09.409000,24.8,32.0,779.7,False,37.2,178,0.5
156,0 days 02:36:09.417000,24.7,32.0,779.7,False,37.2,0,1.2
157,0 days 02:37:09.415000,24.7,32.0,779.7,False,37.3,315,0.4
159,0 days 02:39:09.411000,24.8,31.0,779.5,False,37.4,313,1.0
161,0 days 02:41:09.414000,25.0,31.0,779.5,False,37.8,274,1.1
62,0 days 01:02:09.150000,25.4,34.0,780.5,False,47.4,300,1.2
64,0 days 01:04:09.150000,25.3,34.0,780.5,False,47.7,259,1.7
65,0 days 01:05:09.152000,25.2,35.0,780.5,False,47.2,278,1.7
67,0 days 01:07:09.153000,25.0,34.0,780.5,False,47.1,339,2.2
68,0 days 01:08:09.151000,24.9,34.0,780.4,False,47.0,300,0.8
70,0 days 01:10:09.154000,24.8,34.0,780.4,False,45.6,248,1.3
71,0 days 01:11:09.152000,24.7,34.0,780.5,False,44.1,274,1.3
72,0 days 01:12:09.153000,24.5,35.0,780.2,False,43.6,179,0.8
74,0 days 01:14:09.152000,24.3,35.0,780.5,False,42.6,313,0.6
75,0 days 01:15:09.149000,24.2,34.0,780.4,False,42.6,174,1.1
77,0 days 01:17:09.151000,24.4,34.0,780.4,False,42.1,68,1.7
78,0 days 01:18:09.158000,24.4,33.0,780.4,False,42.1,125,1.7
80,0 days 01:20:09.154000,24.2,34.0,780.2,False,40.8,276,1.1
81,0 days 01:21:09.158000,24.2,34.0,780.2,False,40.8,253,1.1
82,0 days 01:22:09.154000,24.2,33.0,780.2,False,40.4,269,1.5
84,0 days 01:24:09.152000,24.2,33.0,780.2,False,40.2,276,1.7
85,0 days 01:25:09.151000,24.1,33.0,780.2,False,40.0,284,1.5
87,0 days 01:27:09.152000,24.0,33.0,780.2,False,39.9,231,1.1
88,0 days 01:28:09.155000,24.2,33.0,780.2,False,39.8,259,0.8
89,0 days 01:29:09.160000,24.2,33.0,780.2,False,39.6,279,1.0
91,0 days 01:31:09.152000,24.2,33.0,780.2,False,39.5,236,0.8
92,0 days 01:32:09.151000,24.3,33.0,780.0,False,39.5,264,0.8
94,0 days 01:34:09.153000,24.3,32.0,780.0,False,39.8,318,1.3
95,0 days 01:35:09.153000,24.5,32.0,780.0,False,39.8,284,1.6
96,0 days 01:36:09.154000,24.6,32.0,780.0,False,39.8,275,1.7
98,0 days 01:38:09.154000,24.6,33.0,780.0,False,39.4,0,0.8
99,0 days 01:39:09.163000,24.6,33.0,780.0,False,39.4,0,0.8
101,0 days 01:41:09.154000,24.6,33.0,780.0,False,39.4,0,0.8
102,0 days 01:42:09.153000,24.7,33.0,780.0,False,39.1,251,1.5
103,0 days 01:43:09.154000,24.5,33.0,780.0,False,38.9,246,1.6
105,0 days 01:45:09.189000,24.4,34.0,780.0,False,38.8,290,1.2
106,0 days 01:46:09.154000,24.4,34.0,780.0,False,38.7,264,0.8
108,0 days 01:48:09.158000,24.4,34.0,780.0,False,38.4,313,1.5
109,0 days 01:49:09.155000,24.3,34.0,780.0,False,38.4,282,1.1
110,0 days 01:50:09.179000,24.3,34.0,780.0,False,38.5,332,1.7
112,0 days 01:52:09.156000,24.5,33.0,780.0,False,38.5,194,1.6
113,0 days 01:53:09.154000,24.5,33.0,780.0,False,38.5,132,0.8
115,0 days 01:55:09.155000,24.7,32.0,779.9,False,38.6,91,1.2
116,0 days 01:56:09.159000,24.6,33.0,779.9,False,38.6,93,1.1
118,0 days 01:58:09.178000,24.5,33.0,779.9,False,38.3,75,1.5
119,0 days 01:59:09.227000,24.3,33.0,779.7,False,38.1,0,0.6
121,0 days 02:01:09.202000,24.4,33.0,779.7,False,38.0,313,1.2
122,0 days 02:02:09.204000,24.5,33.0,779.9,False,38.2,245,0.4
124,0 days 02:04:09.219000,24.5,33.0,779.7,False,38.0,262,2.5
125,0 days 02:05:09.247000,24.4,32.0,779.9,False,38.0,257,2.7
126,0 days 02:06:09.234000,24.4,32.0,779.9,False,37.9,274,2.2
128,0 days 02:08:09.251000,24.5,31.0,779.7,False,37.9,302,1.8
129,0 days 02:09:09.253000,24.5,31.0,779.9,False,38.0,266,1.1
131,0 days 02:11:09.320000,24.5,31.0,779.7,False,37.9,274,1.6
132,0 days 02:12:09.282000,24.5,31.0,779.7,False,37.9,235,0.8
133,0 days 02:13:09.283000,24.5,31.0,779.7,False,37.9,301,1.0
135,0 days 02:15:09.299000,24.4,31.0,779.7,False,37.8,256,1.0
136,0 days 02:16:09.370000,24.4,31.0,779.7,False,37.8,203,0.8
138,0 days 02:18:09.344000,24.3,31.0,779.7,False,37.8,0,1.2
139,0 days 02:19:09.362000,24.4,32.0,779.7,False,37.6,264,0.6
140,0 days 02:20:09.388000,24.4,31.0,779.7,False,37.6,284,1.5
142,0 days 02:22:09.392000,24.3,32.0,779.7,False,37.2,277,0.8
143,0 days 02:23:09.410000,24.4,32.0,779.7,False,37.2,269,0.6
145,0 days 02:25:09.413000,24.3,32.0,779.7,False,37.2,267,1.5
146,0 days 02:26:09.417000,24.3,32.0,779.7,False,37.1,306,0.6
147,0 days 02:27:09.409000,24.4,32.0,779.7,False,37.0,306,1.2
149,0 days 02:29:09.410000,24.4,32.0,779.7,False,37.0,297,1.3
150,0 days 02:30:09.409000,24.4,32.0,779.7,False,37.0,249,1.0
152,0 days 02:32:09.408000,24.6,32.0,779.7,False,37.3,213,1.1
153,0 days 02:33:09.408000,24.7,32.0,779.7,False,37.2,223,0.6
155,0 days 02:35:09.409000,24.8,32.0,779.7,False,37.2,178,0.5
156,0 days 02:36:09.417000,24.7,32.0,779.7,False,37.2,0,1.2
158,0 days 02:38:09.411000,24.8,32.0,779.5,False,37.3,289,0.6
159,0 days 02:39:09.411000,24.8,31.0,779.5,False,37.4,313,1.0
160,0 days 02:40:09.411000,24.8,31.0,779.5,False,37.8,0,0.6
