,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
110,0 days 01:50:18.211000,28.5,59.0,1002.3,False,46.9,0,1.3
111,0 days 01:51:18.224000,28.3,60.0,1002.3,False,47.1,64,2.3
113,0 days 01:53:18.210000,28.2,60.0,1002.4,False,47.0,345,2.8
114,0 days 01:54:18.228000,28.3,60.0,1002.3,False,47.5,86,1.3
115,0 days 01:55:18.212000,28.3,60.0,1002.4,False,47.0,61,2.2
117,0 days 01:57:18.204000,28.3,61.0,1002.2,False,46.9,35,2.6
118,0 days 01:58:18.222000,28.3,61.0,1002.3,False,46.8,29,2.5
120,0 days 02:00:18.234000,28.4,61.0,1002.3,False,47.4,60,2.0
121,0 days 02:01:18.217000,28.4,62.0,1002.3,False,47.5,268,1.3
122,0 days 02:02:18.225000,28.3,61.0,1002.4,False,47.5,35,1.5
123,0 days 02:03:18.263000,28.2,61.0,1002.3,False,48.0,62,1.3
125,0 days 02:05:18.270000,28.3,61.0,1002.4,False,48.5,77,2.1
126,0 days 02:06:18.264000,28.3,60.0,1002.3,False,48.0,75,1.5
127,0 days 02:07:18.279000,28.5,59.0,1002.4,False,48.5,31,2.5
129,0 days 02:09:18.281000,28.6,60.0,1002.3,False,47.5,49,1.4
130,0 days 02:10:18.295000,28.6,59.0,1002.4,False,47.5,343,2.2
131,0 days 02:11:18.282000,28.6,60.0,1002.3,False,47.0,52,2.2
133,0 days 02:13:18.277000,28.6,60.0,1002.3,False,47.7,59,1.5
134,0 days 02:14:18.284000,28.7,60.0,1002.4,False,47.9,76,1.6
137,0 days 02:17:18.275000,28.7,59.0,1002.3,False,47.4,277,1.4
139,0 days 02:19:18.279000,28.8,60.0,1002.3,False,47.6,178,0.9
141,0 days 02:21:18.315000,28.9,59.0,1002.3,False,47.8,147,0.8
143,0 days 02:23:18.354000,28.9,58.0,1002.2,False,48.9,75,1.9
145,0 days 02:25:18.366000,28.9,59.0,1002.3,False,47.5,17,2.3
146,0 days 02:26:18.367000,29.0,59.0,1002.2,False,46.5,5,2.0
147,0 days 02:27:18.376000,29.0,60.0,1002.3,False,46.5,192,1.4
149,0 days 02:29:18.395000,29.0,60.0,1002.2,False,46.9,235,1.6
150,0 days 02:30:18.400000,29.2,60.0,1002.3,False,47.4,20,1.3
151,0 days 02:31:18.410000,29.3,61.0,1002.2,False,46.9,75,1.1
59,0 days 00:59:17.994000,29.6,51.0,1002.9,False,49.5,275,2.0
61,0 days 01:01:17.978000,29.6,51.0,1003.0,False,49.4,261,1.2
62,0 days 01:02:17.969000,29.5,52.0,1002.8,False,49.0,48,1.1
63,0 days 01:03:18.030000,29.4,53.0,1002.9,False,49.4,275,2.6
65,0 days 01:05:17.982000,29.3,53.0,1002.9,False,49.9,345,1.8
66,0 days 01:06:18.049000,29.3,52.0,1002.8,False,48.9,310,1.8
67,0 days 01:07:17.966000,29.2,53.0,1002.9,False,48.2,29,2.0
69,0 days 01:09:18.040000,29.0,54.0,1002.8,False,49.4,34,1.9
70,0 days 01:10:18.036000,28.9,54.0,1002.9,False,49.4,353,2.8
72,0 days 01:12:18.042000,28.9,56.0,1002.8,False,49.1,3,2.0
73,0 days 01:13:18.034000,29.0,55.0,1002.8,False,49.1,75,2.5
74,0 days 01:14:18.028000,29.0,55.0,1002.8,False,49.1,251,1.1
76,0 days 01:16:18.047000,29.3,55.0,1002.8,False,49.6,58,2.1
77,0 days 01:17:18.071000,29.3,55.0,1002.8,False,49.0,323,2.7
78,0 days 01:18:18.060000,29.2,56.0,1002.8,False,49.0,0,1.9
80,0 days 01:20:18.066000,29.3,55.0,1002.7,False,49.1,305,2.2
81,0 days 01:21:18.075000,29.3,56.0,1002.7,False,49.2,113,1.4
82,0 days 01:22:18.062000,29.4,56.0,1002.7,False,49.4,22,1.2
84,0 days 01:24:18.079000,29.3,55.0,1002.8,False,48.4,41,2.5
85,0 days 01:25:18.069000,29.2,56.0,1002.6,False,47.2,339,2.3
86,0 days 01:26:18.088000,29.1,57.0,1002.5,False,47.0,44,1.8
88,0 days 01:28:18.170000,29.0,57.0,1002.7,False,47.4,3,1.5
89,0 days 01:29:18.126000,28.8,56.0,1002.7,False,47.5,39,1.1
91,0 days 01:31:18.162000,28.8,56.0,1002.5,False,47.9,183,1.3
92,0 days 01:32:18.163000,28.9,56.0,1002.6,False,48.6,258,0.7
93,0 days 01:33:18.178000,29.0,56.0,1002.7,False,49.2,63,1.5
95,0 days 01:35:18.187000,29.1,57.0,1002.7,False,48.5,55,1.4
96,0 days 01:36:18.199000,29.1,57.0,1002.5,False,48.7,11,2.7
97,0 days 01:37:18.183000,29.1,57.0,1002.5,False,48.3,69,2.5
99,0 days 01:39:18.207000,29.0,58.0,1002.5,False,47.9,61,1.9
100,0 days 01:40:18.211000,29.0,58.0,1002.4,False,47.9,46,1.4
101,0 days 01:41:18.213000,28.9,58.0,1002.5,False,47.9,52,2.5
103,0 days 01:43:18.204000,29.0,59.0,1002.5,False,48.0,41,2.4
104,0 days 01:44:18.207000,29.0,59.0,1002.5,False,48.6,36,2.5
105,0 days 01:45:18.208000,28.9,58.0,1002.5,False,48.1,36,2.1
107,0 days 01:47:18.203000,28.6,58.0,1002.4,False,49.0,14,2.1
108,0 days 01:48:18.260000,28.6,59.0,1002.4,False,47.6,0,1.4
109,0 days 01:49:18.208000,28.6,59.0,1002.3,False,47.1,352,1.7
111,0 days 01:51:18.224000,28.3,60.0,1002.3,False,47.1,64,2.3
112,0 days 01:52:18.209000,28.1,60.0,1002.4,False,46.7,33,2.5
113,0 days 01:53:18.210000,28.2,60.0,1002.4,False,47.0,345,2.8
115,0 days 01:55:18.212000,28.3,60.0,1002.4,False,47.0,61,2.2
116,0 days 01:56:18.204000,28.2,60.0,1002.2,False,46.9,24,2.8
117,0 days 01:57:18.204000,28.3,61.0,1002.2,False,46.9,35,2.6
119,0 days 01:59:18.228000,28.4,61.0,1002.3,False,46.8,2,2.0
120,0 days 02:00:18.234000,28.4,61.0,1002.3,False,47.4,60,2.0
121,0 days 02:01:18.217000,28.4,62.0,1002.3,False,47.5,268,1.3
123,0 days 02:03:18.263000,28.2,61.0,1002.3,False,48.0,62,1.3
124,0 days 02:04:18.267000,28.2,61.0,1002.4,False,48.2,59,1.1
125,0 days 02:05:18.270000,28.3,61.0,1002.4,False,48.5,77,2.1
127,0 days 02:07:18.279000,28.5,59.0,1002.4,False,48.5,31,2.5
128,0 days 02:08:18.275000,28.6,60.0,1002.3,False,48.5,252,1.8
130,0 days 02:10:18.295000,28.6,59.0,1002.4,False,47.5,343,2.2
131,0 days 02:11:18.282000,28.6,60.0,1002.3,False,47.0,52,2.2
132,0 days 02:12:18.274000,28.6,60.0,1002.4,False,47.7,15,2.1
134,0 days 02:14:18.284000,28.7,60.0,1002.4,False,47.9,76,1.6
136,0 days 02:16:18.293000,28.7,60.0,1002.4,False,47.6,161,1.1
138,0 days 02:18:18.285000,28.7,60.0,1002.3,False,47.5,222,1.8
141,0 days 02:21:18.315000,28.9,59.0,1002.3,False,47.8,147,0.8
143,0 days 02:23:18.354000,28.9,58.0,1002.2,False,48.9,75,1.9
145,0 days 02:25:18.366000,28.9,59.0,1002.3,False,47.5,17,2.3
146,0 days 02:26:18.367000,29.0,59.0,1002.2,False,46.5,5,2.0
147,0 days 02:27:18.376000,29.0,60.0,1002.3,False,46.5,192,1.4
149,0 days 02:29:18.395000,29.0,60.0,1002.2,False,46.9,235,1.6
150,0 days 02:30:18.400000,29.2,60.0,1002.3,False,47.4,20,1.3
151,0 days 02:31:18.410000,29.3,61.0,1002.2,False,46.9,75,1.1
59,0 days 00:59:17.994000,29.6,51.0,1002.9,False,49.5,275,2.0
61,0 days 01:01:17.978000,29.6,51.0,1003.0,False,49.4,261,1.2
62,0 days 01:02:17.969000,29.5,52.0,1002.8,False,49.0,48,1.1
64,0 days 01:04:18.031000,29.4,54.0,1002.8,False,49.4,276,1.8
65,0 days 01:05:17.982000,29.3,53.0,1002.9,False,49.9,345,1.8
66,0 days 01:06:18.049000,29.3,52.0,1002.8,False,48.9,310,1.8
68,0 days 01:08:17.979000,29.1,54.0,1002.8,False,49.1,79,1.5
69,0 days 01:09:18.040000,29.0,54.0,1002.8,False,49.4,34,1.9
71,0 days 01:11:18.045000,28.9,56.0,1002.7,False,49.1,298,2.5
72,0 days 01:12:18.042000,28.9,56.0,1002.8,False,49.1,3,2.0
74,0 days 01:14:18.028000,29.0,55.0,1002.8,False,49.1,251,1.1
75,0 days 01:15:18.049000,29.1,55.0,1002.6,False,49.6,51,3.5
76,0 days 01:16:18.047000,29.3,55.0,1002.8,False,49.6,58,2.1
78,0 days 01:18:18.060000,29.2,56.0,1002.8,False,49.0,0,1.9
79,0 days 01:19:18.059000,29.2,55.0,1002.7,False,49.1,61,2.1
80,0 days 01:20:18.066000,29.3,55.0,1002.7,False,49.1,305,2.2
82,0 days 01:22:18.062000,29.4,56.0,1002.7,False,49.4,22,1.2
83,0 days 01:23:18.070000,29.3,55.0,1002.6,False,48.7,57,1.9
85,0 days 01:25:18.069000,29.2,56.0,1002.6,False,47.2,339,2.3
86,0 days 01:26:18.088000,29.1,57.0,1002.5,False,47.0,44,1.8
87,0 days 01:27:18.088000,29.0,57.0,1002.6,False,47.0,0,1.2
89,0 days 01:29:18.126000,28.8,56.0,1002.7,False,47.5,39,1.1
90,0 days 01:30:18.137000,28.7,56.0,1002.7,False,47.9,15,1.2
91,0 days 01:31:18.162000,28.8,56.0,1002.5,False,47.9,183,1.3
93,0 days 01:33:18.178000,29.0,56.0,1002.7,False,49.2,63,1.5
94,0 days 01:34:18.168000,29.0,55.0,1002.6,False,48.7,270,1.3
96,0 days 01:36:18.199000,29.1,57.0,1002.5,False,48.7,11,2.7
97,0 days 01:37:18.183000,29.1,57.0,1002.5,False,48.3,69,2.5
98,0 days 01:38:18.206000,29.1,57.0,1002.6,False,47.9,60,1.8
100,0 days 01:40:18.211000,29.0,58.0,1002.4,False,47.9,46,1.4
101,0 days 01:41:18.213000,28.9,58.0,1002.5,False,47.9,52,2.5
102,0 days 01:42:18.202000,28.9,59.0,1002.4,False,47.7,51,2.6
104,0 days 01:44:18.207000,29.0,59.0,1002.5,False,48.6,36,2.5
105,0 days 01:45:18.208000,28.9,58.0,1002.5,False,48.1,36,2.1
106,0 days 01:46:18.219000,28.7,59.0,1002.4,False,47.7,64,2.2
108,0 days 01:48:18.260000,28.6,59.0,1002.4,False,47.6,0,1.4
110,0 days 01:50:18.211000,28.5,59.0,1002.3,False,46.9,0,1.3
111,0 days 01:51:18.224000,28.3,60.0,1002.3,False,47.1,64,2.3
112,0 days 01:52:18.209000,28.1,60.0,1002.4,False,46.7,33,2.5
114,0 days 01:54:18.228000,28.3,60.0,1002.3,False,47.5,86,1.3
115,0 days 01:55:18.212000,28.3,60.0,1002.4,False,47.0,61,2.2
116,0 days 01:56:18.204000,28.2,60.0,1002.2,False,46.9,24,2.8
118,0 days 01:58:18.222000,28.3,61.0,1002.3,False,46.8,29,2.5
119,0 days 01:59:18.228000,28.4,61.0,1002.3,False,46.8,2,2.0
120,0 days 02:00:18.234000,28.4,61.0,1002.3,False,47.4,60,2.0
122,0 days 02:02:18.225000,28.3,61.0,1002.4,False,47.5,35,1.5
123,0 days 02:03:18.263000,28.2,61.0,1002.3,False,48.0,62,1.3
124,0 days 02:04:18.267000,28.2,61.0,1002.4,False,48.2,59,1.1
126,0 days 02:06:18.264000,28.3,60.0,1002.3,False,48.0,75,1.5
127,0 days 02:07:18.279000,28.5,59.0,1002.4,False,48.5,31,2.5
128,0 days 02:08:18.275000,28.6,60.0,1002.3,False,48.5,252,1.8
130,0 days 02:10:18.295000,28.6,59.0,1002.4,False,47.5,343,2.2
131,0 days 02:11:18.282000,28.6,60.0,1002.3,False,47.0,52,2.2
133,0 days 02:13:18.277000,28.6,60.0,1002.3,False,47.7,59,1.5
134,0 days 02:14:18.284000,28.7,60.0,1002.4,False,47.9,76,1.6
136,0 days 02:16:18.293000,28.7,60.0,1002.4,False,47.6,161,1.1
139,0 days 02:19:18.279000,28.8,60.0,1002.3,False,47.6,178,0.9
140,0 days 02:20:18.287000,28.9,60.0,1002.4,False,48.1,338,0.6
142,0 days 02:22:18.330000,28.8,60.0,1002.3,False,48.9,82,0.8
143,0 days 02:23:18.354000,28.9,58.0,1002.2,False,48.9,75,1.9
145,0 days 02:25:18.366000,28.9,59.0,1002.3,False,47.5,17,2.3
146,0 days 02:26:18.367000,29.0,59.0,1002.2,False,46.5,5,2.0
148,0 days 02:28:18.377000,29.0,60.0,1002.2,False,47.3,221,1.5
149,0 days 02:29:18.395000,29.0,60.0,1002.2,False,46.9,235,1.6
150,0 days 02:30:18.400000,29.2,60.0,1002.3,False,47.4,20,1.3
152,0 days 02:32:18.414000,29.5,59.0,1002.0,False,47.5,127,0.8
