,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
119,0 days 01:59:02.919000,20.1,72.7,1006.6,False,24.2,45,3.5
121,0 days 02:01:02.922000,20.0,72.9,1006.5,False,24.2,178,3.4
122,0 days 02:02:02.935000,20.0,72.9,1006.5,False,24.2,178,3.4
123,0 days 02:03:02.954000,20.0,73.0,1006.6,False,24.1,152,3.3
34,0 days 00:34:02.424000,20.5,66.9,1007.8,False,25.3,171,4.4
35,0 days 00:35:02.399000,20.4,67.3,1007.8,False,25.4,183,3.8
37,0 days 00:37:02.443000,20.5,67.9,1007.8,False,25.4,153,3.8
38,0 days 00:38:02.450000,20.5,67.7,1007.7,False,25.0,19,5.0
40,0 days 00:40:02.493000,20.5,67.6,1007.8,False,25.4,29,2.6
41,0 days 00:41:02.482000,20.5,67.6,1007.8,False,25.4,13,2.5
43,0 days 00:43:02.498000,20.5,66.8,1007.8,False,25.5,155,4.0
44,0 days 00:44:02.544000,20.6,66.6,1007.8,False,25.6,145,2.6
45,0 days 00:45:02.485000,20.6,66.9,1007.7,False,25.7,103,2.7
47,0 days 00:47:02.521000,20.7,66.7,1007.6,False,26.5,115,2.5
48,0 days 00:48:02.523000,20.8,66.6,1007.6,False,26.6,175,3.0
50,0 days 00:50:02.463000,21.0,66.0,1007.5,False,26.7,143,2.7
51,0 days 00:51:02.495000,21.0,66.2,1007.5,False,27.0,168,3.7
52,0 days 00:52:02.491000,21.0,66.2,1007.4,False,27.1,53,4.3
54,0 days 00:54:02.484000,21.0,65.9,1007.4,False,27.4,27,2.9
55,0 days 00:55:02.484000,20.9,66.5,1007.5,False,27.5,149,3.8
57,0 days 00:57:02.505000,21.0,66.6,1007.4,False,27.3,154,2.5
58,0 days 00:58:02.532000,21.0,66.0,1007.4,False,27.1,66,3.5
59,0 days 00:59:02.532000,20.8,66.0,1007.3,False,26.8,55,3.2
61,0 days 01:01:02.582000,20.6,66.0,1007.3,False,26.4,162,6.4
62,0 days 01:02:02.609000,20.5,67.1,1007.4,False,26.1,36,3.9
64,0 days 01:04:02.601000,20.6,68.0,1007.4,False,26.0,133,2.8
65,0 days 01:05:02.600000,20.7,67.8,1007.3,False,25.8,170,3.0
66,0 days 01:06:02.596000,20.6,68.3,1007.3,False,25.8,161,4.4
68,0 days 01:08:02.623000,20.5,68.1,1007.2,False,25.8,168,4.8
69,0 days 01:09:02.621000,20.5,67.6,1007.2,False,25.8,163,5.8
71,0 days 01:11:02.622000,20.4,68.1,1007.3,False,25.6,168,3.9
72,0 days 01:12:02.637000,20.5,68.2,1007.4,False,25.5,145,4.7
74,0 days 01:14:02.626000,20.4,69.0,1007.1,False,25.4,159,6.0
75,0 days 01:15:02.623000,20.3,68.1,1007.1,False,25.3,159,5.4
77,0 days 01:17:02.627000,20.4,66.9,1007.2,False,25.6,5,4.2
78,0 days 01:18:02.630000,20.4,67.5,1007.1,False,25.7,173,2.8
79,0 days 01:19:02.628000,20.5,67.5,1007.1,False,25.7,155,3.1
81,0 days 01:21:02.617000,20.6,67.5,1007.0,False,25.8,128,3.7
82,0 days 01:22:02.638000,20.5,67.7,1007.1,False,25.9,94,3.1
83,0 days 01:23:02.631000,20.5,67.8,1007.0,False,26.0,77,3.5
85,0 days 01:25:02.634000,20.6,67.5,1007.0,False,26.1,89,2.5
86,0 days 01:26:02.648000,20.6,67.5,1007.0,False,26.1,89,2.5
88,0 days 01:28:02.641000,20.5,67.8,1006.9,False,25.9,110,4.3
89,0 days 01:29:02.639000,20.5,68.3,1007.0,False,25.8,164,3.3
90,0 days 01:30:02.653000,20.5,68.8,1007.1,False,25.9,146,5.1
92,0 days 01:32:02.674000,20.4,69.2,1006.9,False,25.7,148,5.8
93,0 days 01:33:02.668000,20.4,69.2,1006.9,False,25.7,148,5.8
95,0 days 01:35:02.689000,20.3,69.6,1006.8,False,25.3,161,6.4
96,0 days 01:36:02.681000,20.3,69.5,1007.0,False,25.2,163,4.9
97,0 days 01:37:02.692000,20.2,70.0,1006.9,False,25.1,164,5.1
99,0 days 01:39:02.700000,20.4,69.3,1006.9,False,25.5,148,4.7
100,0 days 01:40:02.706000,20.4,69.3,1006.9,False,25.5,148,4.7
101,0 days 01:41:02.710000,20.4,69.0,1006.8,False,25.5,122,4.0
103,0 days 01:43:02.732000,20.5,68.8,1006.8,False,25.7,169,3.5
104,0 days 01:44:02.735000,20.5,68.6,1006.7,False,25.6,134,4.3
106,0 days 01:46:02.769000,20.2,70.7,1006.6,False,24.7,150,4.2
107,0 days 01:47:02.767000,20.2,70.7,1006.6,False,24.7,150,4.2
108,0 days 01:48:02.781000,20.2,70.8,1006.6,False,24.7,132,4.4
110,0 days 01:50:02.812000,20.2,70.9,1006.6,False,24.7,86,4.2
111,0 days 01:51:02.837000,20.2,71.1,1006.6,False,24.5,78,2.0
112,0 days 01:52:02.863000,20.2,71.3,1006.5,False,24.5,91,2.7
114,0 days 01:54:02.906000,20.2,71.2,1006.6,False,24.4,156,3.2
115,0 days 01:55:02.915000,20.2,71.7,1006.6,False,24.4,36,3.5
117,0 days 01:57:02.926000,20.1,71.9,1006.5,False,24.4,104,3.0
118,0 days 01:58:02.936000,20.1,72.3,1006.6,False,24.3,12,2.7
119,0 days 01:59:02.919000,20.1,72.7,1006.6,False,24.2,45,3.5
121,0 days 02:01:02.922000,20.0,72.9,1006.5,False,24.2,178,3.4
122,0 days 02:02:02.935000,20.0,72.9,1006.5,False,24.2,178,3.4
123,0 days 02:03:02.954000,20.0,73.0,1006.6,False,24.1,152,3.3
34,0 days 00:34:02.424000,20.5,66.9,1007.8,False,25.3,171,4.4
35,0 days 00:35:02.399000,20.4,67.3,1007.8,False,25.4,183,3.8
37,0 days 00:37:02.443000,20.5,67.9,1007.8,False,25.4,153,3.8
38,0 days 00:38:02.450000,20.5,67.7,1007.7,False,25.0,19,5.0
40,0 days 00:40:02.493000,20.5,67.6,1007.8,False,25.4,29,2.6
41,0 days 00:41:02.482000,20.5,67.6,1007.8,False,25.4,13,2.5
43,0 days 00:43:02.498000,20.5,66.8,1007.8,False,25.5,155,4.0
44,0 days 00:44:02.544000,20.6,66.6,1007.8,False,25.6,145,2.6
45,0 days 00:45:02.485000,20.6,66.9,1007.7,False,25.7,103,2.7
47,0 days 00:47:02.521000,20.7,66.7,1007.6,False,26.5,115,2.5
48,0 days 00:48:02.523000,20.8,66.6,1007.6,False,26.6,175,3.0
50,0 days 00:50:02.463000,21.0,66.0,1007.5,False,26.7,143,2.7
51,0 days 00:51:02.495000,21.0,66.2,1007.5,False,27.0,168,3.7
52,0 days 00:52:02.491000,21.0,66.2,1007.4,False,27.1,53,4.3
54,0 days 00:54:02.484000,21.0,65.9,1007.4,False,27.4,27,2.9
55,0 days 00:55:02.484000,20.9,66.5,1007.5,False,27.5,149,3.8
57,0 days 00:57:02.505000,21.0,66.6,1007.4,False,27.3,154,2.5
58,0 days 00:58:02.532000,21.0,66.0,1007.4,False,27.1,66,3.5
59,0 days 00:59:02.532000,20.8,66.0,1007.3,False,26.8,55,3.2
61,0 days 01:01:02.582000,20.6,66.0,1007.3,False,26.4,162,6.4
62,0 days 01:02:02.609000,20.5,67.1,1007.4,False,26.1,36,3.9
64,0 days 01:04:02.601000,20.6,68.0,1007.4,False,26.0,133,2.8
65,0 days 01:05:02.600000,20.7,67.8,1007.3,False,25.8,170,3.0
66,0 days 01:06:02.596000,20.6,68.3,1007.3,False,25.8,161,4.4
68,0 days 01:08:02.623000,20.5,68.1,1007.2,False,25.8,168,4.8
70,0 days 01:10:02.626000,20.5,67.8,1007.3,False,25.6,134,4.1
71,0 days 01:11:02.622000,20.4,68.1,1007.3,False,25.6,168,3.9
72,0 days 01:12:02.637000,20.5,68.2,1007.4,False,25.5,145,4.7
74,0 days 01:14:02.626000,20.4,69.0,1007.1,False,25.4,159,6.0
75,0 days 01:15:02.623000,20.3,68.1,1007.1,False,25.3,159,5.4
77,0 days 01:17:02.627000,20.4,66.9,1007.2,False,25.6,5,4.2
78,0 days 01:18:02.630000,20.4,67.5,1007.1,False,25.7,173,2.8
79,0 days 01:19:02.628000,20.5,67.5,1007.1,False,25.7,155,3.1
81,0 days 01:21:02.617000,20.6,67.5,1007.0,False,25.8,128,3.7
82,0 days 01:22:02.638000,20.5,67.7,1007.1,False,25.9,94,3.1
84,0 days 01:24:02.637000,20.6,67.4,1007.0,False,26.1,169,3.7
85,0 days 01:25:02.634000,20.6,67.5,1007.0,False,26.1,89,2.5
86,0 days 01:26:02.648000,20.6,67.5,1007.0,False,26.1,89,2.5
88,0 days 01:28:02.641000,20.5,67.8,1006.9,False,25.9,110,4.3
89,0 days 01:29:02.639000,20.5,68.3,1007.0,False,25.8,164,3.3
91,0 days 01:31:02.655000,20.5,68.6,1007.0,False,25.9,170,4.2
92,0 days 01:32:02.674000,20.4,69.2,1006.9,False,25.7,148,5.8
93,0 days 01:33:02.668000,20.4,69.2,1006.9,False,25.7,148,5.8
95,0 days 01:35:02.689000,20.3,69.6,1006.8,False,25.3,161,6.4
96,0 days 01:36:02.681000,20.3,69.5,1007.0,False,25.2,163,4.9
98,0 days 01:38:02.694000,20.3,69.8,1006.7,False,25.2,153,5.2
99,0 days 01:39:02.700000,20.4,69.3,1006.9,False,25.5,148,4.7
100,0 days 01:40:02.706000,20.4,69.3,1006.9,False,25.5,148,4.7
102,0 days 01:42:02.697000,20.5,68.8,1006.7,False,25.7,158,4.4
103,0 days 01:43:02.732000,20.5,68.8,1006.8,False,25.7,169,3.5
104,0 days 01:44:02.735000,20.5,68.6,1006.7,False,25.6,134,4.3
106,0 days 01:46:02.769000,20.2,70.7,1006.6,False,24.7,150,4.2
107,0 days 01:47:02.767000,20.2,70.7,1006.6,False,24.7,150,4.2
109,0 days 01:49:02.801000,20.2,71.0,1006.6,False,24.7,100,3.1
110,0 days 01:50:02.812000,20.2,70.9,1006.6,False,24.7,86,4.2
111,0 days 01:51:02.837000,20.2,71.1,1006.6,False,24.5,78,2.0
113,0 days 01:53:02.882000,20.2,71.2,1006.6,False,24.4,156,3.2
114,0 days 01:54:02.906000,20.2,71.2,1006.6,False,24.4,156,3.2
115,0 days 01:55:02.915000,20.2,71.7,1006.6,False,24.4,36,3.5
117,0 days 01:57:02.926000,20.1,71.9,1006.5,False,24.4,104,3.0
118,0 days 01:58:02.936000,20.1,72.3,1006.6,False,24.3,12,2.7
119,0 days 01:59:02.919000,20.1,72.7,1006.6,False,24.2,45,3.5
121,0 days 02:01:02.922000,20.0,72.9,1006.5,False,24.2,178,3.4
122,0 days 02:02:02.935000,20.0,72.9,1006.5,False,24.2,178,3.4
34,0 days 00:34:02.424000,20.5,66.9,1007.8,False,25.3,171,4.4
35,0 days 00:35:02.399000,20.4,67.3,1007.8,False,25.4,183,3.8
37,0 days 00:37:02.443000,20.5,67.9,1007.8,False,25.4,153,3.8
38,0 days 00:38:02.450000,20.5,67.7,1007.7,False,25.0,19,5.0
40,0 days 00:40:02.493000,20.5,67.6,1007.8,False,25.4,29,2.6
41,0 days 00:41:02.482000,20.5,67.6,1007.8,False,25.4,13,2.5
43,0 days 00:43:02.498000,20.5,66.8,1007.8,False,25.5,155,4.0
44,0 days 00:44:02.544000,20.6,66.6,1007.8,False,25.6,145,2.6
45,0 days 00:45:02.485000,20.6,66.9,1007.7,False,25.7,103,2.7
47,0 days 00:47:02.521000,20.7,66.7,1007.6,False,26.5,115,2.5
48,0 days 00:48:02.523000,20.8,66.6,1007.6,False,26.6,175,3.0
50,0 days 00:50:02.463000,21.0,66.0,1007.5,False,26.7,143,2.7
51,0 days 00:51:02.495000,21.0,66.2,1007.5,False,27.0,168,3.7
52,0 days 00:52:02.491000,21.0,66.2,1007.4,False,27.1,53,4.3
54,0 days 00:54:02.484000,21.0,65.9,1007.4,False,27.4,27,2.9
55,0 days 00:55:02.484000,20.9,66.5,1007.5,False,27.5,149,3.8
57,0 days 00:57:02.505000,21.0,66.6,1007.4,False,27.3,154,2.5
58,0 days 00:58:02.532000,21.0,66.0,1007.4,False,27.1,66,3.5
59,0 days 00:59:02.532000,20.8,66.0,1007.3,False,26.8,55,3.2
61,0 days 01:01:02.582000,20.6,66.0,1007.3,False,26.4,162,6.4
62,0 days 01:02:02.609000,20.5,67.1,1007.4,False,26.1,36,3.9
64,0 days 01:04:02.601000,20.6,68.0,1007.4,False,26.0,133,2.8
65,0 days 01:05:02.600000,20.7,67.8,1007.3,False,25.8,170,3.0
66,0 days 01:06:02.596000,20.6,68.3,1007.3,False,25.8,161,4.4
68,0 days 01:08:02.623000,20.5,68.1,1007.2,False,25.8,168,4.8
69,0 days 01:09:02.621000,20.5,67.6,1007.2,False,25.8,163,5.8
71,0 days 01:11:02.622000,20.4,68.1,1007.3,False,25.6,168,3.9
72,0 days 01:12:02.637000,20.5,68.2,1007.4,False,25.5,145,4.7
74,0 days 01:14:02.626000,20.4,69.0,1007.1,False,25.4,159,6.0
75,0 days 01:15:02.623000,20.3,68.1,1007.1,False,25.3,159,5.4
77,0 days 01:17:02.627000,20.4,66.9,1007.2,False,25.6,5,4.2
78,0 days 01:18:02.630000,20.4,67.5,1007.1,False,25.7,173,2.8
79,0 days 01:19:02.628000,20.5,67.5,1007.1,False,25.7,155,3.1
81,0 days 01:21:02.617000,20.6,67.5,1007.0,False,25.8,128,3.7
82,0 days 01:22:02.638000,20.5,67.7,1007.1,False,25.9,94,3.1
83,0 days 01:23:02.631000,20.5,67.8,1007.0,False,26.0,77,3.5
85,0 days 01:25:02.634000,20.6,67.5,1007.0,False,26.1,89,2.5
86,0 days 01:26:02.648000,20.6,67.5,1007.0,False,26.1,89,2.5
88,0 days 01:28:02.641000,20.5,67.8,1006.9,False,25.9,110,4.3
89,0 days 01:29:02.639000,20.5,68.3,1007.0,False,25.8,164,3.3
90,0 days 01:30:02.653000,20.5,68.8,1007.1,False,25.9,146,5.1
92,0 days 01:32:02.674000,20.4,69.2,1006.9,False,25.7,148,5.8
93,0 days 01:33:02.668000,20.4,69.2,1006.9,False,25.7,148,5.8
95,0 days 01:35:02.689000,20.3,69.6,1006.8,False,25.3,161,6.4
96,0 days 01:36:02.681000,20.3,69.5,1007.0,False,25.2,163,4.9
97,0 days 01:37:02.692000,20.2,70.0,1006.9,False,25.1,164,5.1
99,0 days 01:39:02.700000,20.4,69.3,1006.9,False,25.5,148,4.7
100,0 days 01:40:02.706000,20.4,69.3,1006.9,False,25.5,148,4.7
101,0 days 01:41:02.710000,20.4,69.0,1006.8,False,25.5,122,4.0
103,0 days 01:43:02.732000,20.5,68.8,1006.8,False,25.7,169,3.5
104,0 days 01:44:02.735000,20.5,68.6,1006.7,False,25.6,134,4.3
106,0 days 01:46:02.769000,20.2,70.7,1006.6,False,24.7,150,4.2
107,0 days 01:47:02.767000,20.2,70.7,1006.6,False,24.7,150,4.2
108,0 days 01:48:02.781000,20.2,70.8,1006.6,False,24.7,132,4.4
110,0 days 01:50:02.812000,20.2,70.9,1006.6,False,24.7,86,4.2
111,0 days 01:51:02.837000,20.2,71.1,1006.6,False,24.5,78,2.0
113,0 days 01:53:02.882000,20.2,71.2,1006.6,False,24.4,156,3.2
115,0 days 01:55:02.915000,20.2,71.7,1006.6,False,24.4,36,3.5
116,0 days 01:56:02.915000,20.2,71.7,1006.6,False,24.4,36,3.5
117,0 days 01:57:02.926000,20.1,71.9,1006.5,False,24.4,104,3.0
119,0 days 01:59:02.919000,20.1,72.7,1006.6,False,24.2,45,3.5
120,0 days 02:00:02.937000,20.1,72.7,1006.6,False,24.2,133,3.0
121,0 days 02:01:02.922000,20.0,72.9,1006.5,False,24.2,178,3.4
123,0 days 02:03:02.954000,20.0,73.0,1006.6,False,24.1,152,3.3
34,0 days 00:34:02.424000,20.5,66.9,1007.8,False,25.3,171,4.4
35,0 days 00:35:02.399000,20.4,67.3,1007.8,False,25.4,183,3.8
37,0 days 00:37:02.443000,20.5,67.9,1007.8,False,25.4,153,3.8
38,0 days 00:38:02.450000,20.5,67.7,1007.7,False,25.0,19,5.0
40,0 days 00:40:02.493000,20.5,67.6,1007.8,False,25.4,29,2.6
41,0 days 00:41:02.482000,20.5,67.6,1007.8,False,25.4,13,2.5
42,0 days 00:42:02.500000,20.5,67.4,1007.8,False,25.5,161,3.7
44,0 days 00:44:02.544000,20.6,66.6,1007.8,False,25.6,145,2.6
45,0 days 00:45:02.485000,20.6,66.9,1007.7,False,25.7,103,2.7
47,0 days 00:47:02.521000,20.7,66.7,1007.6,False,26.5,115,2.5
48,0 days 00:48:02.523000,20.8,66.6,1007.6,False,26.6,175,3.0
49,0 days 00:49:02.477000,20.9,66.4,1007.6,False,26.6,101,2.3
51,0 days 00:51:02.495000,21.0,66.2,1007.5,False,27.0,168,3.7
52,0 days 00:52:02.491000,21.0,66.2,1007.4,False,27.1,53,4.3
54,0 days 00:54:02.484000,21.0,65.9,1007.4,False,27.4,27,2.9
55,0 days 00:55:02.484000,20.9,66.5,1007.5,False,27.5,149,3.8
56,0 days 00:56:02.487000,21.0,66.6,1007.4,False,27.5,120,2.6
58,0 days 00:58:02.532000,21.0,66.0,1007.4,False,27.1,66,3.5
59,0 days 00:59:02.532000,20.8,66.0,1007.3,False,26.8,55,3.2
61,0 days 01:01:02.582000,20.6,66.0,1007.3,False,26.4,162,6.4
63,0 days 01:03:02.599000,20.6,67.5,1007.3,False,26.0,39,2.6
64,0 days 01:04:02.601000,20.6,68.0,1007.4,False,26.0,133,2.8
66,0 days 01:06:02.596000,20.6,68.3,1007.3,False,25.8,161,4.4
67,0 days 01:07:02.602000,20.5,68.1,1007.2,False,25.8,168,4.8
68,0 days 01:08:02.623000,20.5,68.1,1007.2,False,25.8,168,4.8
70,0 days 01:10:02.626000,20.5,67.8,1007.3,False,25.6,134,4.1
71,0 days 01:11:02.622000,20.4,68.1,1007.3,False,25.6,168,3.9
72,0 days 01:12:02.637000,20.5,68.2,1007.4,False,25.5,145,4.7
74,0 days 01:14:02.626000,20.4,69.0,1007.1,False,25.4,159,6.0
75,0 days 01:15:02.623000,20.3,68.1,1007.1,False,25.3,159,5.4
77,0 days 01:17:02.627000,20.4,66.9,1007.2,False,25.6,5,4.2
78,0 days 01:18:02.630000,20.4,67.5,1007.1,False,25.7,173,2.8
79,0 days 01:19:02.628000,20.5,67.5,1007.1,False,25.7,155,3.1
81,0 days 01:21:02.617000,20.6,67.5,1007.0,False,25.8,128,3.7
82,0 days 01:22:02.638000,20.5,67.7,1007.1,False,25.9,94,3.1
84,0 days 01:24:02.637000,20.6,67.4,1007.0,False,26.1,169,3.7
86,0 days 01:26:02.648000,20.6,67.5,1007.0,False,26.1,89,2.5
87,0 days 01:27:02.621000,20.5,67.8,1006.9,False,25.9,110,4.3
88,0 days 01:28:02.641000,20.5,67.8,1006.9,False,25.9,110,4.3
90,0 days 01:30:02.653000,20.5,68.8,1007.1,False,25.9,146,5.1
91,0 days 01:31:02.655000,20.5,68.6,1007.0,False,25.9,170,4.2
92,0 days 01:32:02.674000,20.4,69.2,1006.9,False,25.7,148,5.8
94,0 days 01:34:02.689000,20.3,69.6,1006.8,False,25.3,161,6.4
95,0 days 01:35:02.689000,20.3,69.6,1006.8,False,25.3,161,6.4
97,0 days 01:37:02.692000,20.2,70.0,1006.9,False,25.1,164,5.1
98,0 days 01:38:02.694000,20.3,69.8,1006.7,False,25.2,153,5.2
99,0 days 01:39:02.700000,20.4,69.3,1006.9,False,25.5,148,4.7
101,0 days 01:41:02.710000,20.4,69.0,1006.8,False,25.5,122,4.0
102,0 days 01:42:02.697000,20.5,68.8,1006.7,False,25.7,158,4.4
103,0 days 01:43:02.732000,20.5,68.8,1006.8,False,25.7,169,3.5
105,0 days 01:45:02.750000,20.4,69.1,1006.6,False,25.2,171,6.1
