,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
72,0 days 01:12:09.647000,19.3,59.0,1023.2,False,22.0,284,0.1
73,0 days 01:13:09.626000,19.4,59.2,1023.2,False,22.0,241,0.5
75,0 days 01:15:09.633000,19.3,60.1,1023.2,False,22.0,93,0.4
77,0 days 01:17:09.627000,19.3,60.6,1023.2,False,21.9,238,0.2
79,0 days 01:19:09.624000,19.3,60.3,1023.2,False,21.9,289,0.5
80,0 days 01:20:09.671000,19.3,60.4,1023.1,False,21.9,268,0.3
82,0 days 01:22:09.648000,19.4,60.3,1023.1,False,22.0,28,0.1
84,0 days 01:24:09.657000,19.3,60.4,1023.1,False,22.0,243,0.4
85,0 days 01:25:09.671000,19.4,60.7,1023.0,False,21.9,119,0.4
87,0 days 01:27:09.693000,19.4,60.7,1023.0,False,22.0,245,0.1
89,0 days 01:29:09.722000,19.3,60.9,1023.0,False,21.8,44,0.1
91,0 days 01:31:09.706000,19.4,61.2,1023.1,False,21.9,110,0.1
93,0 days 01:33:09.708000,19.4,61.1,1023.0,False,21.9,93,0.1
94,0 days 01:34:09.706000,19.4,61.4,1023.0,False,21.8,244,0.3
96,0 days 01:36:09.704000,19.5,61.3,1023.0,False,21.8,102,0.2
98,0 days 01:38:09.723000,19.5,60.9,1023.0,False,21.8,113,0.3
99,0 days 01:39:09.751000,19.4,60.9,1023.0,False,21.8,113,0.3
101,0 days 01:41:09.767000,19.4,61.0,1023.0,False,21.8,66,0.3
103,0 days 01:43:09.775000,19.5,60.4,1023.0,False,21.8,0,0.3
104,0 days 01:44:09.788000,19.4,61.1,1023.0,False,21.8,113,0.3
106,0 days 01:46:09.801000,19.4,60.9,1023.0,False,21.7,245,0.3
108,0 days 01:48:09.797000,19.4,60.5,1023.0,False,21.6,73,0.1
109,0 days 01:49:09.797000,19.4,60.5,1023.0,False,21.6,73,0.1
111,0 days 01:51:09.799000,19.4,60.9,1023.0,False,21.6,248,0.5
113,0 days 01:53:09.798000,19.3,61.1,1023.0,False,21.5,218,0.4
115,0 days 01:55:09.819000,19.3,61.1,1022.9,False,21.5,217,0.3
116,0 days 01:56:09.817000,19.4,61.4,1022.9,False,21.5,0,0.1
118,0 days 01:58:09.829000,19.4,61.7,1022.9,False,21.5,111,0.3
120,0 days 02:00:09.830000,19.4,62.0,1023.0,False,21.4,90,0.3
121,0 days 02:01:09.841000,19.4,62.0,1023.0,False,21.4,90,0.3
123,0 days 02:03:09.832000,19.4,62.4,1023.0,False,21.4,12,0.4
125,0 days 02:05:09.829000,19.4,62.5,1023.0,False,21.4,75,0.1
126,0 days 02:06:09.837000,19.4,62.7,1023.0,False,21.3,71,0.0
128,0 days 02:08:09.874000,19.3,62.5,1022.9,False,21.4,237,0.2
130,0 days 02:10:09.891000,19.3,63.0,1022.9,False,21.3,242,0.2
131,0 days 02:11:09.908000,19.3,63.0,1022.9,False,21.3,242,0.2
133,0 days 02:13:09.925000,19.4,63.8,1023.0,False,21.3,110,0.3
135,0 days 02:15:09.959000,19.4,63.6,1023.0,False,21.1,218,0.1
136,0 days 02:16:09.960000,19.3,63.7,1022.9,False,21.1,109,0.1
138,0 days 02:18:09.957000,19.3,62.8,1023.0,False,21.2,100,0.2
140,0 days 02:20:09.956000,19.2,62.1,1022.9,False,21.1,239,0.2
141,0 days 02:21:09.956000,19.2,62.1,1022.9,False,21.1,261,0.1
143,0 days 02:23:09.955000,18.8,62.4,1022.9,True,21.1,111,0.3
145,0 days 02:25:09.984000,18.6,63.3,1023.1,True,20.9,182,0.7
147,0 days 02:27:09.972000,18.5,63.9,1023.1,True,20.8,195,0.5
150,0 days 02:30:10.011000,18.0,69.8,1023.0,True,19.6,165,0.7
153,0 days 02:33:10,17.7,71.9,1023.1,True,19.6,182,0.9
63,0 days 01:03:09.624000,19.2,58.8,1023.2,False,22.0,132,0.3
65,0 days 01:05:09.624000,19.2,59.0,1023.3,False,22.1,102,0.1
67,0 days 01:07:09.634000,19.2,59.3,1023.2,False,22.0,126,0.4
68,0 days 01:08:09.643000,19.3,59.6,1023.2,False,22.0,0,0.6
70,0 days 01:10:09.627000,19.3,59.2,1023.2,False,21.9,215,0.3
72,0 days 01:12:09.647000,19.3,59.0,1023.2,False,22.0,284,0.1
74,0 days 01:14:09.633000,19.4,59.8,1023.1,False,22.0,87,0.2
75,0 days 01:15:09.633000,19.3,60.1,1023.2,False,22.0,93,0.4
77,0 days 01:17:09.627000,19.3,60.6,1023.2,False,21.9,238,0.2
79,0 days 01:19:09.624000,19.3,60.3,1023.2,False,21.9,289,0.5
80,0 days 01:20:09.671000,19.3,60.4,1023.1,False,21.9,268,0.3
82,0 days 01:22:09.648000,19.4,60.3,1023.1,False,22.0,28,0.1
84,0 days 01:24:09.657000,19.3,60.4,1023.1,False,22.0,243,0.4
85,0 days 01:25:09.671000,19.4,60.7,1023.0,False,21.9,119,0.4
87,0 days 01:27:09.693000,19.4,60.7,1023.0,False,22.0,245,0.1
89,0 days 01:29:09.722000,19.3,60.9,1023.0,False,21.8,44,0.1
91,0 days 01:31:09.706000,19.4,61.2,1023.1,False,21.9,110,0.1
92,0 days 01:32:09.703000,19.4,61.2,1023.1,False,21.9,110,0.1
94,0 days 01:34:09.706000,19.4,61.4,1023.0,False,21.8,244,0.3
96,0 days 01:36:09.704000,19.5,61.3,1023.0,False,21.8,102,0.2
97,0 days 01:37:09.720000,19.5,61.3,1023.0,False,21.8,102,0.2
99,0 days 01:39:09.751000,19.4,60.9,1023.0,False,21.8,113,0.3
101,0 days 01:41:09.767000,19.4,61.0,1023.0,False,21.8,66,0.3
102,0 days 01:42:09.791000,19.5,60.4,1023.0,False,21.8,0,0.3
104,0 days 01:44:09.788000,19.4,61.1,1023.0,False,21.8,113,0.3
106,0 days 01:46:09.801000,19.4,60.9,1023.0,False,21.7,245,0.3
107,0 days 01:47:09.798000,19.4,60.9,1023.0,False,21.7,234,0.5
109,0 days 01:49:09.797000,19.4,60.5,1023.0,False,21.6,73,0.1
111,0 days 01:51:09.799000,19.4,60.9,1023.0,False,21.6,248,0.5
112,0 days 01:52:09.800000,19.3,61.3,1022.9,False,21.6,224,0.1
114,0 days 01:54:09.797000,19.3,61.0,1023.0,False,21.5,129,0.1
116,0 days 01:56:09.817000,19.4,61.4,1022.9,False,21.5,0,0.1
117,0 days 01:57:09.829000,19.4,61.4,1022.9,False,21.5,0,0.1
119,0 days 01:59:09.828000,19.4,61.7,1022.9,False,21.5,111,0.3
121,0 days 02:01:09.841000,19.4,62.0,1023.0,False,21.4,90,0.3
123,0 days 02:03:09.832000,19.4,62.4,1023.0,False,21.4,12,0.4
125,0 days 02:05:09.829000,19.4,62.5,1023.0,False,21.4,75,0.1
126,0 days 02:06:09.837000,19.4,62.7,1023.0,False,21.3,71,0.0
128,0 days 02:08:09.874000,19.3,62.5,1022.9,False,21.4,237,0.2
130,0 days 02:10:09.891000,19.3,63.0,1022.9,False,21.3,242,0.2
131,0 days 02:11:09.908000,19.3,63.0,1022.9,False,21.3,242,0.2
133,0 days 02:13:09.925000,19.4,63.8,1023.0,False,21.3,110,0.3
135,0 days 02:15:09.959000,19.4,63.6,1023.0,False,21.1,218,0.1
136,0 days 02:16:09.960000,19.3,63.7,1022.9,False,21.1,109,0.1
138,0 days 02:18:09.957000,19.3,62.8,1023.0,False,21.2,100,0.2
140,0 days 02:20:09.956000,19.2,62.1,1022.9,False,21.1,239,0.2
141,0 days 02:21:09.956000,19.2,62.1,1022.9,False,21.1,261,0.1
143,0 days 02:23:09.955000,18.8,62.4,1022.9,True,21.1,111,0.3
145,0 days 02:25:09.984000,18.6,63.3,1023.1,True,20.9,182,0.7
147,0 days 02:27:09.972000,18.5,63.9,1023.1,True,20.8,195,0.5
149,0 days 02:29:10.005000,18.2,67.9,1023.0,True,20.2,168,0.9
152,0 days 02:32:10.003000,17.8,72.4,1023.1,True,19.6,169,0.2
63,0 days 01:03:09.624000,19.2,58.8,1023.2,False,22.0,132,0.3
65,0 days 01:05:09.624000,19.2,59.0,1023.3,False,22.1,102,0.1
67,0 days 01:07:09.634000,19.2,59.3,1023.2,False,22.0,126,0.4
68,0 days 01:08:09.643000,19.3,59.6,1023.2,False,22.0,0,0.6
70,0 days 01:10:09.627000,19.3,59.2,1023.2,False,21.9,215,0.3
72,0 days 01:12:09.647000,19.3,59.0,1023.2,False,22.0,284,0.1
74,0 days 01:14:09.633000,19.4,59.8,1023.1,False,22.0,87,0.2
75,0 days 01:15:09.633000,19.3,60.1,1023.2,False,22.0,93,0.4
77,0 days 01:17:09.627000,19.3,60.6,1023.2,False,21.9,238,0.2
79,0 days 01:19:09.624000,19.3,60.3,1023.2,False,21.9,289,0.5
81,0 days 01:21:09.641000,19.4,60.3,1023.1,False,22.0,28,0.1
82,0 days 01:22:09.648000,19.4,60.3,1023.1,False,22.0,28,0.1
84,0 days 01:24:09.657000,19.3,60.4,1023.1,False,22.0,243,0.4
86,0 days 01:26:09.690000,19.4,61.2,1023.1,False,21.9,0,0.2
87,0 days 01:27:09.693000,19.4,60.7,1023.0,False,22.0,245,0.1
89,0 days 01:29:09.722000,19.3,60.9,1023.0,False,21.8,44,0.1
91,0 days 01:31:09.706000,19.4,61.2,1023.1,False,21.9,110,0.1
93,0 days 01:33:09.708000,19.4,61.1,1023.0,False,21.9,93,0.1
94,0 days 01:34:09.706000,19.4,61.4,1023.0,False,21.8,244,0.3
96,0 days 01:36:09.704000,19.5,61.3,1023.0,False,21.8,102,0.2
98,0 days 01:38:09.723000,19.5,60.9,1023.0,False,21.8,113,0.3
99,0 days 01:39:09.751000,19.4,60.9,1023.0,False,21.8,113,0.3
101,0 days 01:41:09.767000,19.4,61.0,1023.0,False,21.8,66,0.3
103,0 days 01:43:09.775000,19.5,60.4,1023.0,False,21.8,0,0.3
104,0 days 01:44:09.788000,19.4,61.1,1023.0,False,21.8,113,0.3
106,0 days 01:46:09.801000,19.4,60.9,1023.0,False,21.7,245,0.3
108,0 days 01:48:09.797000,19.4,60.5,1023.0,False,21.6,73,0.1
110,0 days 01:50:09.798000,19.4,60.8,1023.1,False,21.6,162,0.2
111,0 days 01:51:09.799000,19.4,60.9,1023.0,False,21.6,248,0.5
113,0 days 01:53:09.798000,19.3,61.1,1023.0,False,21.5,218,0.4
115,0 days 01:55:09.819000,19.3,61.1,1022.9,False,21.5,217,0.3
116,0 days 01:56:09.817000,19.4,61.4,1022.9,False,21.5,0,0.1
118,0 days 01:58:09.829000,19.4,61.7,1022.9,False,21.5,111,0.3
120,0 days 02:00:09.830000,19.4,62.0,1023.0,False,21.4,90,0.3
121,0 days 02:01:09.841000,19.4,62.0,1023.0,False,21.4,90,0.3
123,0 days 02:03:09.832000,19.4,62.4,1023.0,False,21.4,12,0.4
125,0 days 02:05:09.829000,19.4,62.5,1023.0,False,21.4,75,0.1
127,0 days 02:07:09.860000,19.4,62.7,1023.0,False,21.3,71,0.0
129,0 days 02:09:09.910000,19.3,62.9,1023.1,False,21.4,101,0.3
130,0 days 02:10:09.891000,19.3,63.0,1022.9,False,21.3,242,0.2
132,0 days 02:12:09.923000,19.4,63.8,1023.0,False,21.3,110,0.3
134,0 days 02:14:09.939000,19.4,63.6,1023.0,False,21.1,218,0.1
135,0 days 02:15:09.959000,19.4,63.6,1023.0,False,21.1,218,0.1
137,0 days 02:17:09.954000,19.3,62.8,1023.0,False,21.2,100,0.2
139,0 days 02:19:09.957000,19.3,62.1,1022.9,False,21.1,239,0.2
140,0 days 02:20:09.956000,19.2,62.1,1022.9,False,21.1,239,0.2
142,0 days 02:22:09.966000,18.9,62.4,1022.9,True,21.1,111,0.3
144,0 days 02:24:09.956000,18.7,62.7,1023.0,True,21.0,0,0.0
146,0 days 02:26:09.971000,18.5,63.3,1023.1,True,20.9,182,0.7
148,0 days 02:28:09.989000,18.2,65.7,1023.1,True,20.7,163,0.8
151,0 days 02:31:10.004000,18.0,70.5,1023.1,True,19.6,17,0.4
153,0 days 02:33:10,17.7,71.9,1023.1,True,19.6,182,0.9
63,0 days 01:03:09.624000,19.2,58.8,1023.2,False,22.0,132,0.3
65,0 days 01:05:09.624000,19.2,59.0,1023.3,False,22.1,102,0.1
67,0 days 01:07:09.634000,19.2,59.3,1023.2,False,22.0,126,0.4
68,0 days 01:08:09.643000,19.3,59.6,1023.2,False,22.0,0,0.6
70,0 days 01:10:09.627000,19.3,59.2,1023.2,False,21.9,215,0.3
72,0 days 01:12:09.647000,19.3,59.0,1023.2,False,22.0,284,0.1
74,0 days 01:14:09.633000,19.4,59.8,1023.1,False,22.0,87,0.2
75,0 days 01:15:09.633000,19.3,60.1,1023.2,False,22.0,93,0.4
77,0 days 01:17:09.627000,19.3,60.6,1023.2,False,21.9,238,0.2
79,0 days 01:19:09.624000,19.3,60.3,1023.2,False,21.9,289,0.5
81,0 days 01:21:09.641000,19.4,60.3,1023.1,False,22.0,28,0.1
82,0 days 01:22:09.648000,19.4,60.3,1023.1,False,22.0,28,0.1
84,0 days 01:24:09.657000,19.3,60.4,1023.1,False,22.0,243,0.4
86,0 days 01:26:09.690000,19.4,61.2,1023.1,False,21.9,0,0.2
88,0 days 01:28:09.704000,19.4,60.9,1023.1,False,22.0,247,0.2
90,0 days 01:30:09.707000,19.4,60.9,1023.0,False,21.8,44,0.1
91,0 days 01:31:09.706000,19.4,61.2,1023.1,False,21.9,110,0.1
93,0 days 01:33:09.708000,19.4,61.1,1023.0,False,21.9,93,0.1
95,0 days 01:35:09.704000,19.5,61.4,1023.0,False,21.8,244,0.3
96,0 days 01:36:09.704000,19.5,61.3,1023.0,False,21.8,102,0.2
98,0 days 01:38:09.723000,19.5,60.9,1023.0,False,21.8,113,0.3
100,0 days 01:40:09.764000,19.4,61.0,1023.0,False,21.8,66,0.3
102,0 days 01:42:09.791000,19.5,60.4,1023.0,False,21.8,0,0.3
103,0 days 01:43:09.775000,19.5,60.4,1023.0,False,21.8,0,0.3
105,0 days 01:45:09.796000,19.4,61.1,1023.0,False,21.8,113,0.3
107,0 days 01:47:09.798000,19.4,60.9,1023.0,False,21.7,234,0.5
108,0 days 01:48:09.797000,19.4,60.5,1023.0,False,21.6,73,0.1
110,0 days 01:50:09.798000,19.4,60.8,1023.1,False,21.6,162,0.2
112,0 days 01:52:09.800000,19.3,61.3,1022.9,False,21.6,224,0.1
113,0 days 01:53:09.798000,19.3,61.1,1023.0,False,21.5,218,0.4
115,0 days 01:55:09.819000,19.3,61.1,1022.9,False,21.5,217,0.3
117,0 days 01:57:09.829000,19.4,61.4,1022.9,False,21.5,0,0.1
118,0 days 01:58:09.829000,19.4,61.7,1022.9,False,21.5,111,0.3
120,0 days 02:00:09.830000,19.4,62.0,1023.0,False,21.4,90,0.3
122,0 days 02:02:09.829000,19.4,62.4,1023.0,False,21.4,12,0.4
123,0 days 02:03:09.832000,19.4,62.4,1023.0,False,21.4,12,0.4
125,0 days 02:05:09.829000,19.4,62.5,1023.0,False,21.4,75,0.1
127,0 days 02:07:09.860000,19.4,62.7,1023.0,False,21.3,71,0.0
128,0 days 02:08:09.874000,19.3,62.5,1022.9,False,21.4,237,0.2
130,0 days 02:10:09.891000,19.3,63.0,1022.9,False,21.3,242,0.2
132,0 days 02:12:09.923000,19.4,63.8,1023.0,False,21.3,110,0.3
133,0 days 02:13:09.925000,19.4,63.8,1023.0,False,21.3,110,0.3
135,0 days 02:15:09.959000,19.4,63.6,1023.0,False,21.1,218,0.1
137,0 days 02:17:09.954000,19.3,62.8,1023.0,False,21.2,100,0.2
138,0 days 02:18:09.957000,19.3,62.8,1023.0,False,21.2,100,0.2
140,0 days 02:20:09.956000,19.2,62.1,1022.9,False,21.1,239,0.2
142,0 days 02:22:09.966000,18.9,62.4,1022.9,True,21.1,111,0.3
144,0 days 02:24:09.956000,18.7,62.7,1023.0,True,21.0,0,0.0
147,0 days 02:27:09.972000,18.5,63.9,1023.1,True,20.8,195,0.5
149,0 days 02:29:10.005000,18.2,67.9,1023.0,True,20.2,168,0.9
151,0 days 02:31:10.004000,18.0,70.5,1023.1,True,19.6,17,0.4
153,0 days 02:33:10,17.7,71.9,1023.1,True,19.6,182,0.9
63,0 days 01:03:09.624000,19.2,58.8,1023.2,False,22.0,132,0.3
65,0 days 01:05:09.624000,19.2,59.0,1023.3,False,22.1,102,0.1
67,0 days 01:07:09.634000,19.2,59.3,1023.2,False,22.0,126,0.4
68,0 days 01:08:09.643000,19.3,59.6,1023.2,False,22.0,0,0.6
70,0 days 01:10:09.627000,19.3,59.2,1023.2,False,21.9,215,0.3
72,0 days 01:12:09.647000,19.3,59.0,1023.2,False,22.0,284,0.1
74,0 days 01:14:09.633000,19.4,59.8,1023.1,False,22.0,87,0.2
75,0 days 01:15:09.633000,19.3,60.1,1023.2,False,22.0,93,0.4
77,0 days 01:17:09.627000,19.3,60.6,1023.2,False,21.9,238,0.2
79,0 days 01:19:09.624000,19.3,60.3,1023.2,False,21.9,289,0.5
81,0 days 01:21:09.641000,19.4,60.3,1023.1,False,22.0,28,0.1
82,0 days 01:22:09.648000,19.4,60.3,1023.1,False,22.0,28,0.1
84,0 days 01:24:09.657000,19.3,60.4,1023.1,False,22.0,243,0.4
86,0 days 01:26:09.690000,19.4,61.2,1023.1,False,21.9,0,0.2
88,0 days 01:28:09.704000,19.4,60.9,1023.1,False,22.0,247,0.2
90,0 days 01:30:09.707000,19.4,60.9,1023.0,False,21.8,44,0.1
91,0 days 01:31:09.706000,19.4,61.2,1023.1,False,21.9,110,0.1
93,0 days 01:33:09.708000,19.4,61.1,1023.0,False,21.9,93,0.1
95,0 days 01:35:09.704000,19.5,61.4,1023.0,False,21.8,244,0.3
97,0 days 01:37:09.720000,19.5,61.3,1023.0,False,21.8,102,0.2
98,0 days 01:38:09.723000,19.5,60.9,1023.0,False,21.8,113,0.3
100,0 days 01:40:09.764000,19.4,61.0,1023.0,False,21.8,66,0.3
102,0 days 01:42:09.791000,19.5,60.4,1023.0,False,21.8,0,0.3
103,0 days 01:43:09.775000,19.5,60.4,1023.0,False,21.8,0,0.3
105,0 days 01:45:09.796000,19.4,61.1,1023.0,False,21.8,113,0.3
107,0 days 01:47:09.798000,19.4,60.9,1023.0,False,21.7,234,0.5
108,0 days 01:48:09.797000,19.4,60.5,1023.0,False,21.6,73,0.1
110,0 days 01:50:09.798000,19.4,60.8,1023.1,False,21.6,162,0.2
112,0 days 01:52:09.800000,19.3,61.3,1022.9,False,21.6,224,0.1
114,0 days 01:54:09.797000,19.3,61.0,1023.0,False,21.5,129,0.1
115,0 days 01:55:09.819000,19.3,61.1,1022.9,False,21.5,217,0.3
117,0 days 01:57:09.829000,19.4,61.4,1022.9,False,21.5,0,0.1
119,0 days 01:59:09.828000,19.4,61.7,1022.9,False,21.5,111,0.3
120,0 days 02:00:09.830000,19.4,62.0,1023.0,False,21.4,90,0.3
122,0 days 02:02:09.829000,19.4,62.4,1023.0,False,21.4,12,0.4
124,0 days 02:04:09.830000,19.4,62.5,1023.0,False,21.4,75,0.1
126,0 days 02:06:09.837000,19.4,62.7,1023.0,False,21.3,71,0.0
127,0 days 02:07:09.860000,19.4,62.7,1023.0,False,21.3,71,0.0
129,0 days 02:09:09.910000,19.3,62.9,1023.1,False,21.4,101,0.3
131,0 days 02:11:09.908000,19.3,63.0,1022.9,False,21.3,242,0.2
132,0 days 02:12:09.923000,19.4,63.8,1023.0,False,21.3,110,0.3
134,0 days 02:14:09.939000,19.4,63.6,1023.0,False,21.1,218,0.1
136,0 days 02:16:09.960000,19.3,63.7,1022.9,False,21.1,109,0.1
138,0 days 02:18:09.957000,19.3,62.8,1023.0,False,21.2,100,0.2
140,0 days 02:20:09.956000,19.2,62.1,1022.9,False,21.1,239,0.2
141,0 days 02:21:09.956000,19.2,62.1,1022.9,False,21.1,261,0.1
144,0 days 02:24:09.956000,18.7,62.7,1023.0,True,21.0,0,0.0
146,0 days 02:26:09.971000,18.5,63.3,1023.1,True,20.9,182,0.7
148,0 days 02:28:09.989000,18.2,65.7,1023.1,True,20.7,163,0.8
150,0 days 02:30:10.011000,18.0,69.8,1023.0,True,19.6,165,0.7
152,0 days 02:32:10.003000,17.8,72.4,1023.1,True,19.6,169,0.2
63,0 days 01:03:09.624000,19.2,58.8,1023.2,False,22.0,132,0.3
65,0 days 01:05:09.624000,19.2,59.0,1023.3,False,22.1,102,0.1
67,0 days 01:07:09.634000,19.2,59.3,1023.2,False,22.0,126,0.4
68,0 days 01:08:09.643000,19.3,59.6,1023.2,False,22.0,0,0.6
70,0 days 01:10:09.627000,19.3,59.2,1023.2,False,21.9,215,0.3
72,0 days 01:12:09.647000,19.3,59.0,1023.2,False,22.0,284,0.1
74,0 days 01:14:09.633000,19.4,59.8,1023.1,False,22.0,87,0.2
75,0 days 01:15:09.633000,19.3,60.1,1023.2,False,22.0,93,0.4
77,0 days 01:17:09.627000,19.3,60.6,1023.2,False,21.9,238,0.2
79,0 days 01:19:09.624000,19.3,60.3,1023.2,False,21.9,289,0.5
81,0 days 01:21:09.641000,19.4,60.3,1023.1,False,22.0,28,0.1
82,0 days 01:22:09.648000,19.4,60.3,1023.1,False,22.0,28,0.1
84,0 days 01:24:09.657000,19.3,60.4,1023.1,False,22.0,243,0.4
86,0 days 01:26:09.690000,19.4,61.2,1023.1,False,21.9,0,0.2
88,0 days 01:28:09.704000,19.4,60.9,1023.1,False,22.0,247,0.2
90,0 days 01:30:09.707000,19.4,60.9,1023.0,False,21.8,44,0.1
91,0 days 01:31:09.706000,19.4,61.2,1023.1,False,21.9,110,0.1
93,0 days 01:33:09.708000,19.4,61.1,1023.0,False,21.9,93,0.1
95,0 days 01:35:09.704000,19.5,61.4,1023.0,False,21.8,244,0.3
96,0 days 01:36:09.704000,19.5,61.3,1023.0,False,21.8,102,0.2
98,0 days 01:38:09.723000,19.5,60.9,1023.0,False,21.8,113,0.3
100,0 days 01:40:09.764000,19.4,61.0,1023.0,False,21.8,66,0.3
101,0 days 01:41:09.767000,19.4,61.0,1023.0,False,21.8,66,0.3
103,0 days 01:43:09.775000,19.5,60.4,1023.0,False,21.8,0,0.3
105,0 days 01:45:09.796000,19.4,61.1,1023.0,False,21.8,113,0.3
107,0 days 01:47:09.798000,19.4,60.9,1023.0,False,21.7,234,0.5
108,0 days 01:48:09.797000,19.4,60.5,1023.0,False,21.6,73,0.1
110,0 days 01:50:09.798000,19.4,60.8,1023.1,False,21.6,162,0.2
112,0 days 01:52:09.800000,19.3,61.3,1022.9,False,21.6,224,0.1
113,0 days 01:53:09.798000,19.3,61.1,1023.0,False,21.5,218,0.4
115,0 days 01:55:09.819000,19.3,61.1,1022.9,False,21.5,217,0.3
117,0 days 01:57:09.829000,19.4,61.4,1022.9,False,21.5,0,0.1
118,0 days 01:58:09.829000,19.4,61.7,1022.9,False,21.5,111,0.3
120,0 days 02:00:09.830000,19.4,62.0,1023.0,False,21.4,90,0.3
122,0 days 02:02:09.829000,19.4,62.4,1023.0,False,21.4,12,0.4
123,0 days 02:03:09.832000,19.4,62.4,1023.0,False,21.4,12,0.4
125,0 days 02:05:09.829000,19.4,62.5,1023.0,False,21.4,75,0.1
127,0 days 02:07:09.860000,19.4,62.7,1023.0,False,21.3,71,0.0
128,0 days 02:08:09.874000,19.3,62.5,1022.9,False,21.4,237,0.2
130,0 days 02:10:09.891000,19.3,63.0,1022.9,False,21.3,242,0.2
132,0 days 02:12:09.923000,19.4,63.8,1023.0,False,21.3,110,0.3
133,0 days 02:13:09.925000,19.4,63.8,1023.0,False,21.3,110,0.3
135,0 days 02:15:09.959000,19.4,63.6,1023.0,False,21.1,218,0.1
137,0 days 02:17:09.954000,19.3,62.8,1023.0,False,21.2,100,0.2
138,0 days 02:18:09.957000,19.3,62.8,1023.0,False,21.2,100,0.2
140,0 days 02:20:09.956000,19.2,62.1,1022.9,False,21.1,239,0.2
142,0 days 02:22:09.966000,18.9,62.4,1022.9,True,21.1,111,0.3
63,0 days 01:03:09.624000,19.2,58.8,1023.2,False,22.0,132,0.3
65,0 days 01:05:09.624000,19.2,59.0,1023.3,False,22.1,102,0.1
67,0 days 01:07:09.634000,19.2,59.3,1023.2,False,22.0,126,0.4
68,0 days 01:08:09.643000,19.3,59.6,1023.2,False,22.0,0,0.6
70,0 days 01:10:09.627000,19.3,59.2,1023.2,False,21.9,215,0.3
72,0 days 01:12:09.647000,19.3,59.0,1023.2,False,22.0,284,0.1
74,0 days 01:14:09.633000,19.4,59.8,1023.1,False,22.0,87,0.2
75,0 days 01:15:09.633000,19.3,60.1,1023.2,False,22.0,93,0.4
77,0 days 01:17:09.627000,19.3,60.6,1023.2,False,21.9,238,0.2
79,0 days 01:19:09.624000,19.3,60.3,1023.2,False,21.9,289,0.5
81,0 days 01:21:09.641000,19.4,60.3,1023.1,False,22.0,28,0.1
82,0 days 01:22:09.648000,19.4,60.3,1023.1,False,22.0,28,0.1
84,0 days 01:24:09.657000,19.3,60.4,1023.1,False,22.0,243,0.4
86,0 days 01:26:09.690000,19.4,61.2,1023.1,False,21.9,0,0.2
88,0 days 01:28:09.704000,19.4,60.9,1023.1,False,22.0,247,0.2
89,0 days 01:29:09.722000,19.3,60.9,1023.0,False,21.8,44,0.1
91,0 days 01:31:09.706000,19.4,61.2,1023.1,False,21.9,110,0.1
93,0 days 01:33:09.708000,19.4,61.1,1023.0,False,21.9,93,0.1
95,0 days 01:35:09.704000,19.5,61.4,1023.0,False,21.8,244,0.3
96,0 days 01:36:09.704000,19.5,61.3,1023.0,False,21.8,102,0.2
98,0 days 01:38:09.723000,19.5,60.9,1023.0,False,21.8,113,0.3
100,0 days 01:40:09.764000,19.4,61.0,1023.0,False,21.8,66,0.3
102,0 days 01:42:09.791000,19.5,60.4,1023.0,False,21.8,0,0.3
103,0 days 01:43:09.775000,19.5,60.4,1023.0,False,21.8,0,0.3
105,0 days 01:45:09.796000,19.4,61.1,1023.0,False,21.8,113,0.3
107,0 days 01:47:09.798000,19.4,60.9,1023.0,False,21.7,234,0.5
108,0 days 01:48:09.797000,19.4,60.5,1023.0,False,21.6,73,0.1
110,0 days 01:50:09.798000,19.4,60.8,1023.1,False,21.6,162,0.2
112,0 days 01:52:09.800000,19.3,61.3,1022.9,False,21.6,224,0.1
114,0 days 01:54:09.797000,19.3,61.0,1023.0,False,21.5,129,0.1
115,0 days 01:55:09.819000,19.3,61.1,1022.9,False,21.5,217,0.3
117,0 days 01:57:09.829000,19.4,61.4,1022.9,False,21.5,0,0.1
