,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
85,0 days 01:25:29.791000,29.5,49.0,991.0,False,36.4,94,4.4
87,0 days 01:27:29.796000,29.4,49.0,991.0,False,36.4,103,7.0
89,0 days 01:29:29.794000,29.6,50.0,991.2,False,36.2,121,5.5
90,0 days 01:30:29.796000,29.5,50.0,991.0,False,36.0,107,4.4
92,0 days 01:32:29.797000,29.5,49.0,991.0,False,35.4,106,4.5
94,0 days 01:34:29.799000,29.4,48.0,991.0,False,35.7,102,7.1
97,0 days 01:37:29.793000,29.6,49.0,991.0,False,35.5,107,5.5
99,0 days 01:39:29.793000,29.7,49.0,990.7,False,36.1,106,5.5
102,0 days 01:42:29.791000,29.9,48.0,990.7,False,36.3,105,5.5
104,0 days 01:44:29.796000,29.9,47.0,990.7,False,36.3,102,6.4
107,0 days 01:47:29.794000,29.7,48.0,990.9,False,35.9,109,6.0
110,0 days 01:50:29.793000,29.7,48.0,990.5,False,36.5,110,5.0
112,0 days 01:52:29.808000,29.8,49.0,990.7,False,36.2,108,6.3
114,0 days 01:54:29.808000,29.7,50.0,990.5,False,35.8,95,7.5
116,0 days 01:56:29.828000,29.6,48.0,990.5,False,35.9,117,6.5
118,0 days 01:58:29.848000,29.8,49.0,990.5,False,35.8,112,5.3
119,0 days 01:59:29.858000,29.8,48.0,990.4,False,36.3,110,6.1
121,0 days 02:01:29.872000,29.8,48.0,990.2,False,36.3,108,5.0
123,0 days 02:03:29.889000,29.9,49.0,990.2,False,35.7,116,6.3
124,0 days 02:04:29.913000,29.6,49.0,990.5,False,35.6,124,4.6
126,0 days 02:06:29.919000,29.6,47.0,990.2,False,36.2,95,5.8
128,0 days 02:08:29.920000,29.4,48.0,990.2,False,36.8,101,6.6
130,0 days 02:10:29.920000,29.5,49.0,990.2,False,36.5,115,7.3
131,0 days 02:11:29.918000,29.6,49.0,990.2,False,36.5,88,6.3
133,0 days 02:13:29.923000,29.3,49.0,990.2,False,35.9,105,5.4
135,0 days 02:15:29.925000,29.4,50.0,990.2,False,35.7,108,5.6
136,0 days 02:16:29.941000,29.4,49.0,990.2,False,35.8,100,5.5
138,0 days 02:18:29.921000,29.8,48.0,990.0,False,36.9,106,5.6
140,0 days 02:20:29.921000,30.4,46.0,990.2,False,37.5,108,4.6
141,0 days 02:21:29.920000,30.4,46.0,990.2,False,37.5,81,2.2
143,0 days 02:23:29.935000,30.6,45.0,990.0,False,37.3,95,7.9
145,0 days 02:25:29.954000,30.3,46.0,990.0,False,37.5,99,8.6
146,0 days 02:26:29.975000,30.4,46.0,990.0,False,37.5,100,6.6
148,0 days 02:28:29.968000,30.5,46.0,990.2,False,37.5,105,3.7
150,0 days 02:30:29.968000,30.5,47.0,990.0,False,36.9,142,4.6
151,0 days 02:31:29.988000,30.6,47.0,990.0,False,37.2,127,4.1
153,0 days 02:33:30.017000,30.5,46.0,990.0,False,36.8,101,3.7
155,0 days 02:35:30.033000,30.4,46.0,990.0,False,36.8,106,5.8
157,0 days 02:37:30.047000,30.6,46.0,990.2,False,37.7,109,5.5
158,0 days 02:38:30.056000,30.6,46.0,990.0,False,38.1,106,4.8
160,0 days 02:40:30.048000,30.6,46.0,990.0,False,38.1,105,5.3
162,0 days 02:42:30.074000,30.5,45.0,989.9,False,37.9,99,4.4
163,0 days 02:43:30.048000,30.3,45.0,990.0,False,37.9,102,4.6
63,0 days 01:03:29.802000,28.9,52.0,991.7,False,34.6,111,2.0
65,0 days 01:05:29.795000,28.9,51.0,991.5,False,34.6,149,4.1
66,0 days 01:06:29.801000,28.9,50.0,991.7,False,34.6,112,4.3
68,0 days 01:08:29.792000,29.0,50.0,991.4,False,34.8,108,4.0
70,0 days 01:10:29.790000,29.1,50.0,991.5,False,34.7,112,6.4
72,0 days 01:12:29.799000,28.9,50.0,991.2,False,34.7,110,6.6
73,0 days 01:13:29.815000,28.8,50.0,991.4,False,34.8,101,6.1
75,0 days 01:15:29.802000,28.9,50.0,991.5,False,35.2,113,5.3
77,0 days 01:17:29.795000,29.0,50.0,991.4,False,35.3,112,7.5
79,0 days 01:19:29.793000,29.1,51.0,991.2,False,35.6,99,7.0
80,0 days 01:20:29.794000,29.2,51.0,991.4,False,35.8,104,6.0
82,0 days 01:22:29.798000,29.2,50.0,991.2,False,36.0,112,3.2
84,0 days 01:24:29.794000,29.3,48.0,991.4,False,36.4,124,5.3
86,0 days 01:26:29.797000,29.5,49.0,991.0,False,36.4,103,7.0
87,0 days 01:27:29.796000,29.4,49.0,991.0,False,36.4,103,7.0
89,0 days 01:29:29.794000,29.6,50.0,991.2,False,36.2,121,5.5
91,0 days 01:31:29.798000,29.4,49.0,991.0,False,35.6,101,5.6
93,0 days 01:33:29.791000,29.4,49.0,991.0,False,35.6,92,4.9
95,0 days 01:35:29.797000,29.5,48.0,990.7,False,35.5,105,6.8
97,0 days 01:37:29.793000,29.6,49.0,991.0,False,35.5,107,5.5
100,0 days 01:40:29.791000,29.8,48.0,990.9,False,36.2,110,4.3
102,0 days 01:42:29.791000,29.9,48.0,990.7,False,36.3,105,5.5
104,0 days 01:44:29.796000,29.9,47.0,990.7,False,36.3,102,6.4
107,0 days 01:47:29.794000,29.7,48.0,990.9,False,35.9,109,6.0
110,0 days 01:50:29.793000,29.7,48.0,990.5,False,36.5,110,5.0
113,0 days 01:53:29.816000,29.8,49.0,990.5,False,35.9,114,5.4
114,0 days 01:54:29.808000,29.7,50.0,990.5,False,35.8,95,7.5
116,0 days 01:56:29.828000,29.6,48.0,990.5,False,35.9,117,6.5
118,0 days 01:58:29.848000,29.8,49.0,990.5,False,35.8,112,5.3
119,0 days 01:59:29.858000,29.8,48.0,990.4,False,36.3,110,6.1
121,0 days 02:01:29.872000,29.8,48.0,990.2,False,36.3,108,5.0
123,0 days 02:03:29.889000,29.9,49.0,990.2,False,35.7,116,6.3
125,0 days 02:05:29.907000,29.6,48.0,990.4,False,35.6,119,6.1
126,0 days 02:06:29.919000,29.6,47.0,990.2,False,36.2,95,5.8
128,0 days 02:08:29.920000,29.4,48.0,990.2,False,36.8,101,6.6
130,0 days 02:10:29.920000,29.5,49.0,990.2,False,36.5,115,7.3
132,0 days 02:12:29.919000,29.5,49.0,990.2,False,36.0,105,5.3
134,0 days 02:14:29.920000,29.3,49.0,990.2,False,35.8,107,5.8
135,0 days 02:15:29.925000,29.4,50.0,990.2,False,35.7,108,5.6
137,0 days 02:17:29.937000,29.6,49.0,990.0,False,36.6,150,7.0
139,0 days 02:19:29.921000,30.1,47.0,990.2,False,37.1,115,5.1
140,0 days 02:20:29.921000,30.4,46.0,990.2,False,37.5,108,4.6
142,0 days 02:22:29.923000,30.6,45.0,989.9,False,37.3,108,6.0
144,0 days 02:24:29.934000,30.3,45.0,990.0,False,37.5,103,8.5
146,0 days 02:26:29.975000,30.4,46.0,990.0,False,37.5,100,6.6
147,0 days 02:27:29.967000,30.5,46.0,990.0,False,37.5,130,5.4
149,0 days 02:29:29.975000,30.5,46.0,990.0,False,37.2,104,6.5
151,0 days 02:31:29.988000,30.6,47.0,990.0,False,37.2,127,4.1
152,0 days 02:32:30.003000,30.6,46.0,990.0,False,37.2,106,4.5
154,0 days 02:34:30.018000,30.5,46.0,989.9,False,36.7,100,4.3
156,0 days 02:36:30.107000,30.5,46.0,990.0,False,37.2,95,4.6
158,0 days 02:38:30.056000,30.6,46.0,990.0,False,38.1,106,4.8
159,0 days 02:39:30.051000,30.7,46.0,990.0,False,38.1,110,5.3
161,0 days 02:41:30.049000,30.5,46.0,990.0,False,38.1,119,5.1
163,0 days 02:43:30.048000,30.3,45.0,990.0,False,37.9,102,4.6
164,0 days 02:44:30.057000,30.2,45.0,989.7,False,37.8,102,5.0
63,0 days 01:03:29.802000,28.9,52.0,991.7,False,34.6,111,2.0
64,0 days 01:04:29.793000,28.9,52.0,991.5,False,34.6,92,3.9
66,0 days 01:06:29.801000,28.9,50.0,991.7,False,34.6,112,4.3
68,0 days 01:08:29.792000,29.0,50.0,991.4,False,34.8,108,4.0
70,0 days 01:10:29.790000,29.1,50.0,991.5,False,34.7,112,6.4
71,0 days 01:11:29.797000,29.0,50.0,991.5,False,34.6,103,7.0
73,0 days 01:13:29.815000,28.8,50.0,991.4,False,34.8,101,6.1
75,0 days 01:15:29.802000,28.9,50.0,991.5,False,35.2,113,5.3
77,0 days 01:17:29.795000,29.0,50.0,991.4,False,35.3,112,7.5
78,0 days 01:18:29.806000,29.1,50.0,991.2,False,35.4,104,6.8
80,0 days 01:20:29.794000,29.2,51.0,991.4,False,35.8,104,6.0
82,0 days 01:22:29.798000,29.2,50.0,991.2,False,36.0,112,3.2
84,0 days 01:24:29.794000,29.3,48.0,991.4,False,36.4,124,5.3
85,0 days 01:25:29.791000,29.5,49.0,991.0,False,36.4,94,4.4
87,0 days 01:27:29.796000,29.4,49.0,991.0,False,36.4,103,7.0
89,0 days 01:29:29.794000,29.6,50.0,991.2,False,36.2,121,5.5
90,0 days 01:30:29.796000,29.5,50.0,991.0,False,36.0,107,4.4
92,0 days 01:32:29.797000,29.5,49.0,991.0,False,35.4,106,4.5
94,0 days 01:34:29.799000,29.4,48.0,991.0,False,35.7,102,7.1
97,0 days 01:37:29.793000,29.6,49.0,991.0,False,35.5,107,5.5
100,0 days 01:40:29.791000,29.8,48.0,990.9,False,36.2,110,4.3
102,0 days 01:42:29.791000,29.9,48.0,990.7,False,36.3,105,5.5
104,0 days 01:44:29.796000,29.9,47.0,990.7,False,36.3,102,6.4
107,0 days 01:47:29.794000,29.7,48.0,990.9,False,35.9,109,6.0
110,0 days 01:50:29.793000,29.7,48.0,990.5,False,36.5,110,5.0
112,0 days 01:52:29.808000,29.8,49.0,990.7,False,36.2,108,6.3
114,0 days 01:54:29.808000,29.7,50.0,990.5,False,35.8,95,7.5
116,0 days 01:56:29.828000,29.6,48.0,990.5,False,35.9,117,6.5
118,0 days 01:58:29.848000,29.8,49.0,990.5,False,35.8,112,5.3
119,0 days 01:59:29.858000,29.8,48.0,990.4,False,36.3,110,6.1
121,0 days 02:01:29.872000,29.8,48.0,990.2,False,36.3,108,5.0
123,0 days 02:03:29.889000,29.9,49.0,990.2,False,35.7,116,6.3
124,0 days 02:04:29.913000,29.6,49.0,990.5,False,35.6,124,4.6
126,0 days 02:06:29.919000,29.6,47.0,990.2,False,36.2,95,5.8
128,0 days 02:08:29.920000,29.4,48.0,990.2,False,36.8,101,6.6
130,0 days 02:10:29.920000,29.5,49.0,990.2,False,36.5,115,7.3
131,0 days 02:11:29.918000,29.6,49.0,990.2,False,36.5,88,6.3
133,0 days 02:13:29.923000,29.3,49.0,990.2,False,35.9,105,5.4
135,0 days 02:15:29.925000,29.4,50.0,990.2,False,35.7,108,5.6
136,0 days 02:16:29.941000,29.4,49.0,990.2,False,35.8,100,5.5
138,0 days 02:18:29.921000,29.8,48.0,990.0,False,36.9,106,5.6
140,0 days 02:20:29.921000,30.4,46.0,990.2,False,37.5,108,4.6
142,0 days 02:22:29.923000,30.6,45.0,989.9,False,37.3,108,6.0
144,0 days 02:24:29.934000,30.3,45.0,990.0,False,37.5,103,8.5
145,0 days 02:25:29.954000,30.3,46.0,990.0,False,37.5,99,8.6
147,0 days 02:27:29.967000,30.5,46.0,990.0,False,37.5,130,5.4
149,0 days 02:29:29.975000,30.5,46.0,990.0,False,37.2,104,6.5
151,0 days 02:31:29.988000,30.6,47.0,990.0,False,37.2,127,4.1
152,0 days 02:32:30.003000,30.6,46.0,990.0,False,37.2,106,4.5
154,0 days 02:34:30.018000,30.5,46.0,989.9,False,36.7,100,4.3
156,0 days 02:36:30.107000,30.5,46.0,990.0,False,37.2,95,4.6
157,0 days 02:37:30.047000,30.6,46.0,990.2,False,37.7,109,5.5
159,0 days 02:39:30.051000,30.7,46.0,990.0,False,38.1,110,5.3
161,0 days 02:41:30.049000,30.5,46.0,990.0,False,38.1,119,5.1
163,0 days 02:43:30.048000,30.3,45.0,990.0,False,37.9,102,4.6
164,0 days 02:44:30.057000,30.2,45.0,989.7,False,37.8,102,5.0
63,0 days 01:03:29.802000,28.9,52.0,991.7,False,34.6,111,2.0
63,0 days 01:03:29.802000,28.9,52.0,991.7,False,34.6,111,2.0
65,0 days 01:05:29.795000,28.9,51.0,991.5,False,34.6,149,4.1
66,0 days 01:06:29.801000,28.9,50.0,991.7,False,34.6,112,4.3
68,0 days 01:08:29.792000,29.0,50.0,991.4,False,34.8,108,4.0
70,0 days 01:10:29.790000,29.1,50.0,991.5,False,34.7,112,6.4
72,0 days 01:12:29.799000,28.9,50.0,991.2,False,34.7,110,6.6
74,0 days 01:14:29.789000,28.8,51.0,991.4,False,35.1,104,6.0
76,0 days 01:16:29.793000,28.9,50.0,991.2,False,35.3,106,5.3
77,0 days 01:17:29.795000,29.0,50.0,991.4,False,35.3,112,7.5
79,0 days 01:19:29.793000,29.1,51.0,991.2,False,35.6,99,7.0
81,0 days 01:21:29.795000,29.1,51.0,991.4,False,35.9,103,4.5
83,0 days 01:23:29.793000,29.3,48.0,991.4,False,36.0,106,4.9
84,0 days 01:24:29.794000,29.3,48.0,991.4,False,36.4,124,5.3
86,0 days 01:26:29.797000,29.5,49.0,991.0,False,36.4,103,7.0
88,0 days 01:28:29.795000,29.5,50.0,991.0,False,36.2,94,6.8
89,0 days 01:29:29.794000,29.6,50.0,991.2,False,36.2,121,5.5
91,0 days 01:31:29.798000,29.4,49.0,991.0,False,35.6,101,5.6
93,0 days 01:33:29.791000,29.4,49.0,991.0,False,35.6,92,4.9
95,0 days 01:35:29.797000,29.5,48.0,990.7,False,35.5,105,6.8
98,0 days 01:38:30.179000,29.7,48.0,990.7,False,35.9,100,6.4
100,0 days 01:40:29.791000,29.8,48.0,990.9,False,36.2,110,4.3
102,0 days 01:42:29.791000,29.9,48.0,990.7,False,36.3,105,5.5
104,0 days 01:44:29.796000,29.9,47.0,990.7,False,36.3,102,6.4
107,0 days 01:47:29.794000,29.7,48.0,990.9,False,35.9,109,6.0
110,0 days 01:50:29.793000,29.7,48.0,990.5,False,36.5,110,5.0
113,0 days 01:53:29.816000,29.8,49.0,990.5,False,35.9,114,5.4
114,0 days 01:54:29.808000,29.7,50.0,990.5,False,35.8,95,7.5
116,0 days 01:56:29.828000,29.6,48.0,990.5,False,35.9,117,6.5
118,0 days 01:58:29.848000,29.8,49.0,990.5,False,35.8,112,5.3
120,0 days 02:00:29.854000,29.8,48.0,990.4,False,36.4,113,5.5
121,0 days 02:01:29.872000,29.8,48.0,990.2,False,36.3,108,5.0
123,0 days 02:03:29.889000,29.9,49.0,990.2,False,35.7,116,6.3
125,0 days 02:05:29.907000,29.6,48.0,990.4,False,35.6,119,6.1
127,0 days 02:07:29.920000,29.7,48.0,990.2,False,36.7,116,6.9
128,0 days 02:08:29.920000,29.4,48.0,990.2,False,36.8,101,6.6
130,0 days 02:10:29.920000,29.5,49.0,990.2,False,36.5,115,7.3
132,0 days 02:12:29.919000,29.5,49.0,990.2,False,36.0,105,5.3
134,0 days 02:14:29.920000,29.3,49.0,990.2,False,35.8,107,5.8
135,0 days 02:15:29.925000,29.4,50.0,990.2,False,35.7,108,5.6
137,0 days 02:17:29.937000,29.6,49.0,990.0,False,36.6,150,7.0
139,0 days 02:19:29.921000,30.1,47.0,990.2,False,37.1,115,5.1
140,0 days 02:20:29.921000,30.4,46.0,990.2,False,37.5,108,4.6
142,0 days 02:22:29.923000,30.6,45.0,989.9,False,37.3,108,6.0
144,0 days 02:24:29.934000,30.3,45.0,990.0,False,37.5,103,8.5
146,0 days 02:26:29.975000,30.4,46.0,990.0,False,37.5,100,6.6
147,0 days 02:27:29.967000,30.5,46.0,990.0,False,37.5,130,5.4
149,0 days 02:29:29.975000,30.5,46.0,990.0,False,37.2,104,6.5
151,0 days 02:31:29.988000,30.6,47.0,990.0,False,37.2,127,4.1
153,0 days 02:33:30.017000,30.5,46.0,990.0,False,36.8,101,3.7
154,0 days 02:34:30.018000,30.5,46.0,989.9,False,36.7,100,4.3
156,0 days 02:36:30.107000,30.5,46.0,990.0,False,37.2,95,4.6
158,0 days 02:38:30.056000,30.6,46.0,990.0,False,38.1,106,4.8
160,0 days 02:40:30.048000,30.6,46.0,990.0,False,38.1,105,5.3
161,0 days 02:41:30.049000,30.5,46.0,990.0,False,38.1,119,5.1
163,0 days 02:43:30.048000,30.3,45.0,990.0,False,37.9,102,4.6
165,0 days 02:45:30.051000,30.1,46.0,990.0,False,37.7,107,7.8
63,0 days 01:03:29.802000,28.9,52.0,991.7,False,34.6,111,2.0
64,0 days 01:04:29.793000,28.9,52.0,991.5,False,34.6,92,3.9
66,0 days 01:06:29.801000,28.9,50.0,991.7,False,34.6,112,4.3
68,0 days 01:08:29.792000,29.0,50.0,991.4,False,34.8,108,4.0
70,0 days 01:10:29.790000,29.1,50.0,991.5,False,34.7,112,6.4
71,0 days 01:11:29.797000,29.0,50.0,991.5,False,34.6,103,7.0
73,0 days 01:13:29.815000,28.8,50.0,991.4,False,34.8,101,6.1
75,0 days 01:15:29.802000,28.9,50.0,991.5,False,35.2,113,5.3
76,0 days 01:16:29.793000,28.9,50.0,991.2,False,35.3,106,5.3
78,0 days 01:18:29.806000,29.1,50.0,991.2,False,35.4,104,6.8
80,0 days 01:20:29.794000,29.2,51.0,991.4,False,35.8,104,6.0
82,0 days 01:22:29.798000,29.2,50.0,991.2,False,36.0,112,3.2
83,0 days 01:23:29.793000,29.3,48.0,991.4,False,36.0,106,4.9
85,0 days 01:25:29.791000,29.5,49.0,991.0,False,36.4,94,4.4
87,0 days 01:27:29.796000,29.4,49.0,991.0,False,36.4,103,7.0
89,0 days 01:29:29.794000,29.6,50.0,991.2,False,36.2,121,5.5
91,0 days 01:31:29.798000,29.4,49.0,991.0,False,35.6,101,5.6
92,0 days 01:32:29.797000,29.5,49.0,991.0,False,35.4,106,4.5
94,0 days 01:34:29.799000,29.4,48.0,991.0,False,35.7,102,7.1
97,0 days 01:37:29.793000,29.6,49.0,991.0,False,35.5,107,5.5
99,0 days 01:39:29.793000,29.7,49.0,990.7,False,36.1,106,5.5
102,0 days 01:42:29.791000,29.9,48.0,990.7,False,36.3,105,5.5
104,0 days 01:44:29.796000,29.9,47.0,990.7,False,36.3,102,6.4
107,0 days 01:47:29.794000,29.7,48.0,990.9,False,35.9,109,6.0
110,0 days 01:50:29.793000,29.7,48.0,990.5,False,36.5,110,5.0
112,0 days 01:52:29.808000,29.8,49.0,990.7,False,36.2,108,6.3
114,0 days 01:54:29.808000,29.7,50.0,990.5,False,35.8,95,7.5
116,0 days 01:56:29.828000,29.6,48.0,990.5,False,35.9,117,6.5
118,0 days 01:58:29.848000,29.8,49.0,990.5,False,35.8,112,5.3
119,0 days 01:59:29.858000,29.8,48.0,990.4,False,36.3,110,6.1
121,0 days 02:01:29.872000,29.8,48.0,990.2,False,36.3,108,5.0
123,0 days 02:03:29.889000,29.9,49.0,990.2,False,35.7,116,6.3
124,0 days 02:04:29.913000,29.6,49.0,990.5,False,35.6,124,4.6
126,0 days 02:06:29.919000,29.6,47.0,990.2,False,36.2,95,5.8
128,0 days 02:08:29.920000,29.4,48.0,990.2,False,36.8,101,6.6
129,0 days 02:09:29.934000,29.5,48.0,990.2,False,36.6,99,8.1
131,0 days 02:11:29.918000,29.6,49.0,990.2,False,36.5,88,6.3
133,0 days 02:13:29.923000,29.3,49.0,990.2,False,35.9,105,5.4
135,0 days 02:15:29.925000,29.4,50.0,990.2,False,35.7,108,5.6
137,0 days 02:17:29.937000,29.6,49.0,990.0,False,36.6,150,7.0
138,0 days 02:18:29.921000,29.8,48.0,990.0,False,36.9,106,5.6
140,0 days 02:20:29.921000,30.4,46.0,990.2,False,37.5,108,4.6
142,0 days 02:22:29.923000,30.6,45.0,989.9,False,37.3,108,6.0
143,0 days 02:23:29.935000,30.6,45.0,990.0,False,37.3,95,7.9
145,0 days 02:25:29.954000,30.3,46.0,990.0,False,37.5,99,8.6
147,0 days 02:27:29.967000,30.5,46.0,990.0,False,37.5,130,5.4
148,0 days 02:28:29.968000,30.5,46.0,990.2,False,37.5,105,3.7
150,0 days 02:30:29.968000,30.5,47.0,990.0,False,36.9,142,4.6
152,0 days 02:32:30.003000,30.6,46.0,990.0,False,37.2,106,4.5
153,0 days 02:33:30.017000,30.5,46.0,990.0,False,36.8,101,3.7
155,0 days 02:35:30.033000,30.4,46.0,990.0,False,36.8,106,5.8
157,0 days 02:37:30.047000,30.6,46.0,990.2,False,37.7,109,5.5
159,0 days 02:39:30.051000,30.7,46.0,990.0,False,38.1,110,5.3
160,0 days 02:40:30.048000,30.6,46.0,990.0,False,38.1,105,5.3
162,0 days 02:42:30.074000,30.5,45.0,989.9,False,37.9,99,4.4
164,0 days 02:44:30.057000,30.2,45.0,989.7,False,37.8,102,5.0
63,0 days 01:03:29.802000,28.9,52.0,991.7,False,34.6,111,2.0
65,0 days 01:05:29.795000,28.9,51.0,991.5,False,34.6,149,4.1
66,0 days 01:06:29.801000,28.9,50.0,991.7,False,34.6,112,4.3
68,0 days 01:08:29.792000,29.0,50.0,991.4,False,34.8,108,4.0
70,0 days 01:10:29.790000,29.1,50.0,991.5,False,34.7,112,6.4
71,0 days 01:11:29.797000,29.0,50.0,991.5,False,34.6,103,7.0
73,0 days 01:13:29.815000,28.8,50.0,991.4,False,34.8,101,6.1
75,0 days 01:15:29.802000,28.9,50.0,991.5,False,35.2,113,5.3
77,0 days 01:17:29.795000,29.0,50.0,991.4,False,35.3,112,7.5
78,0 days 01:18:29.806000,29.1,50.0,991.2,False,35.4,104,6.8
80,0 days 01:20:29.794000,29.2,51.0,991.4,False,35.8,104,6.0
82,0 days 01:22:29.798000,29.2,50.0,991.2,False,36.0,112,3.2
84,0 days 01:24:29.794000,29.3,48.0,991.4,False,36.4,124,5.3
86,0 days 01:26:29.797000,29.5,49.0,991.0,False,36.4,103,7.0
87,0 days 01:27:29.796000,29.4,49.0,991.0,False,36.4,103,7.0
89,0 days 01:29:29.794000,29.6,50.0,991.2,False,36.2,121,5.5
91,0 days 01:31:29.798000,29.4,49.0,991.0,False,35.6,101,5.6
